entity,num
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,3
49,5
50,
51,
52,5
53,
54,
55,
56,
57,4
58,
59,5
60,3
61,4
62,
63,
64,
65,4
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,3
76,4
77,4
78,
79,5
80,
81,
82,
83,3
84,
85,
86,4
87,
88,5
89,5
90,4
91,
92,5
93,4
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,3
106,
107,
108,4
109,
110,3
111,
112,4
113,
114,
115,
116,
117,
118,4
119,
120,
121,
122,
123,
124,
125,
126,5
127,5
128,
129,
130,3
131,
132,
133,
134,
135,
136,2
137,
138,
139,5
140,5
141,4
142,
143,5
144,5
145,5
146,
147,
148,
149,
150,
151,4
152,5
153,
154,
155,4
156,
157,
158,
159,
160,3
161,
162,5
163,3
164,5
165,
166,
167,
168,
169,
170,
171,4
172,
173,5
174,4
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,4
189,
190,
191,5
192,
193,4
194,
195,
196,4
197,
198,
199,
200,
201,
