entity,num
0,4.2
1,3.8
2,4.5
3,3.9
4,4.0
5,4.7
6,4.2
7,3.6
8,3.8
9,3.8
10,4.4
11,4.0
12,4.4
13,4.6
14,4.3
15,4.1
16,4.2
17,4.1
18,3.8
19,4.3
20,4.4
21,4.5
22,3.8
23,4.7
24,4.0
25,4.0
26,4.5
27,4.4
28,4.3
29,4.7
30,4.5
31,4.0
32,4.4
33,4.4
34,4.3
35,4.1
36,4.1
37,4.3
38,4.5
39,3.8
40,4.4
41,4.0
42,3.6
43,4.2
44,4.1
45,4.7
46,4.5
47,4.5
48,4.2
49,4.0
50,4.4
51,4.4
52,4.3
53,4.3
54,4.5
55,4.4
56,4.3
57,4.4
58,4.3
59,4.0
60,4.6
61,4.2
62,4.3
63,4.5
64,4.8
65,4.5
66,4.2
67,4.2
68,4.4
69,4.2
70,4.1
71,4.3
72,4.3
73,4.2
74,3.8
75,4.2
76,4.1
77,3.9
78,4.3
79,4.4
80,4.3
81,4.2
82,3.6
83,4.1
84,4.5
85,4.4
86,4.7
87,4.3
88,4.7
89,4.8
90,3.8
91,4.4
92,4.7
93,4.4
94,4.5
95,4.7
96,4.2
97,4.1
98,4.6
99,3.7
100,4.0
101,4.4
102,4.3
103,4.2
104,4.2
105,4.2
106,4.8
107,4.0
108,4.3
109,3.9
110,4.1
111,4.1
112,3.9
113,4.1
114,4.4
115,4.3
116,4.4
117,4.3
118,3.2
119,4.5
120,3.8
121,3.0
122,4.3
123,3.6
124,4.2
125,3.8
126,4.4
127,3.2
128,3.0
129,4.5
130,3.6
131,3.6
132,4.3
133,4.0
134,4.5
135,4.5
136,3.9
137,4.3
138,4.8
139,4.4
140,4.3
141,4.3
142,4.5
143,4.4
144,4.7
145,4.2
146,4.5
147,4.7
148,4.3
149,4.0
150,4.4
151,4.2
152,4.6
153,3.9
154,4.5
155,3.6
156,3.3
157,4.5
158,4.8
159,4.0
160,4.8
161,4.7
162,4.8
163,4.6
164,4.1
165,4.6
166,4.6
167,4.1
168,4.3
169,4.5
170,4.0
171,4.6
172,3.7
173,4.3
174,4.2
175,4.9
176,4.2
177,4.1
178,4.7
179,3.9
180,4.2
181,4.7
182,4.0
183,4.6
184,4.8
185,4.5
186,3.8
187,4.1
188,4.7
189,4.6
190,4.8
191,4.9
192,4.6
193,4.5
194,4.6
195,4.5
196,4.6
197,4.2
198,4.3
199,4.5
200,4.5
201,4.1
202,2.8
203,4.7
204,4.1
205,4.3
206,4.5
207,4.3
208,4.0
209,4.6
210,4.6
211,4.3
212,4.2
213,3.8
214,4.4
215,4.5
216,4.2
217,4.0
218,4.4
219,4.2
220,3.5
221,4.4
222,4.5
223,3.5
224,4.7
225,4.7
226,5.0
227,4.0
228,3.8
229,4.1
230,4.8
231,4.6
232,4.2
233,4.0
234,3.9
235,4.5
236,4.4
237,4.2
238,4.3
239,3.8
240,4.7
241,4.6
242,4.4
243,4.7
244,4.8
245,4.7
246,4.0
247,4.1
248,4.4
249,4.5
250,4.3
251,4.0
252,4.4
253,4.6
254,3.9
255,4.7
256,3.7
257,4.7
258,4.4
259,3.7
260,4.4
261,4.2
262,4.2
263,4.1
264,4.3
265,4.4
266,4.6
267,4.1
268,4.1
269,4.1
270,4.2
271,3.8
272,3.9
273,4.7
274,3.9
275,4.5
276,4.1
277,4.4
278,4.7
279,4.0
280,4.2
281,4.0
282,4.6
283,4.4
284,4.8
285,4.5
286,4.7
287,4.9
288,4.7
289,4.8
290,4.4
291,4.1
292,3.2
293,4.4
294,4.2
295,4.4
296,4.3
297,4.0
298,3.7
299,4.3
300,4.4
301,4.6
302,4.4
303,4.4
304,4.5
305,4.3
306,4.6
307,4.6
308,4.4
