worker_id,task_id,label
0,0,5
0,83,4
0,87,5
1,0,5
2,0,5
2,10,5
2,11,4
2,24,4
2,31,4
2,47,3
2,70,4
2,102,3
2,109,4
2,123,4
2,156,3
3,0,5
3,32,5
3,58,3
3,71,5
3,170,4
4,0,5
4,11,5
5,0,5
6,0,1
6,11,5
6,171,1
7,0,5
8,0,5
8,42,5
8,84,5
9,0,5
9,10,5
9,39,5
9,96,5
9,135,3
9,201,4
10,0,5
10,2,5
10,3,5
10,4,5
10,16,4
10,21,4
10,37,4
11,0,5
11,4,5
11,6,4
11,35,4
11,187,5
12,0,5
12,123,5
13,0,5
14,0,5
14,34,5
15,0,5
15,1,4
15,4,4
15,24,5
15,29,4
15,35,4
15,57,4
16,0,5
16,1,5
16,2,5
16,3,5
16,4,4
16,6,5
16,11,5
16,21,4
16,24,5
16,28,5
16,38,4
16,43,5
16,51,4
16,74,5
16,79,4
16,92,4
16,115,5
16,141,4
16,151,4
16,157,4
16,169,4
16,193,5
17,0,4
17,3,5
17,5,3
17,6,4
17,7,4
17,8,4
17,11,4
17,12,3
17,14,4
17,15,5
17,16,4
17,19,3
17,21,3
17,22,4
17,29,2
17,35,3
17,38,5
17,39,4
17,49,4
17,55,4
17,63,3
17,67,4
17,88,3
17,97,4
17,98,4
17,99,4
17,103,3
17,115,4
17,116,4
17,117,2
17,119,4
17,133,4
17,137,3
17,141,5
17,150,5
17,157,4
17,169,4
17,171,4
17,187,3
18,0,5
18,2,5
18,3,5
18,8,5
18,15,4
18,19,4
18,22,5
18,80,5
18,112,5
19,0,4
19,2,4
19,4,5
19,13,5
19,29,5
19,33,5
19,44,5
19,58,4
19,61,5
19,79,4
19,121,4
20,0,5
20,41,4
20,53,5
20,72,5
20,91,5
20,109,4
20,124,5
20,168,4
21,0,5
21,1,5
21,3,5
21,4,4
21,5,5
21,16,4
21,21,5
21,83,4
21,88,4
21,99,4
21,157,4
22,0,5
22,1,5
22,2,5
22,4,5
22,12,5
22,21,5
22,26,5
22,36,5
22,42,3
22,43,5
22,71,4
22,88,5
22,94,3
22,117,4
22,121,4
22,128,5
22,164,4
22,169,4
22,187,5
22,189,4
22,193,4
23,0,4
23,2,4
24,0,5
24,3,5
24,4,4
24,7,5
24,8,5
24,10,4
24,11,5
24,14,5
24,15,5
24,17,5
24,19,4
24,20,4
24,21,5
24,22,4
24,28,5
24,33,4
24,35,5
24,36,5
24,37,4
24,39,5
24,41,5
24,42,3
24,43,5
24,45,4
24,49,4
24,50,4
24,51,4
24,52,3
24,53,5
24,54,4
24,58,4
24,63,4
24,65,4
24,67,4
24,71,5
24,76,4
24,96,4
24,97,5
24,99,4
24,100,4
24,105,4
24,116,4
24,125,4
24,126,4
24,133,4
24,147,4
24,150,4
24,169,5
24,179,4
24,185,4
24,187,4
24,191,4
24,197,4
25,0,5
26,0,4
26,3,4
26,4,4
26,6,4
26,8,4
26,10,4
26,12,4
26,13,4
26,15,4
26,16,4
26,17,4
26,20,4
26,21,4
26,23,4
26,35,4
26,36,4
26,37,4
26,39,4
26,43,4
26,46,4
26,50,4
26,57,4
26,61,4
26,63,4
26,65,4
26,78,4
26,85,4
26,87,4
26,88,4
26,89,4
26,90,4
26,92,4
26,97,4
26,99,4
26,101,4
26,105,4
26,106,4
26,107,4
26,112,4
26,115,4
26,116,4
26,117,5
26,119,4
26,125,4
26,138,4
26,141,4
26,147,4
26,150,4
26,157,4
26,163,4
26,166,4
26,171,4
26,177,4
26,180,4
26,181,4
26,186,4
26,195,4
26,197,4
27,0,5
27,119,5
28,0,5
28,24,5
28,117,5
29,0,5
29,1,5
29,169,5
29,187,4
29,188,4
30,0,5
30,4,5
30,37,5
30,50,5
31,0,4
32,0,5
32,14,5
32,19,5
32,139,5
32,140,5
32,174,5
33,0,5
33,4,5
33,16,5
33,29,5
33,35,5
33,99,5
33,133,5
33,160,4
33,166,4
34,0,4
34,6,4
34,7,5
34,8,5
34,10,5
34,21,5
34,25,4
34,26,4
34,28,4
34,33,5
34,50,4
34,72,5
34,76,4
34,89,4
34,92,5
34,102,4
34,105,4
34,111,4
34,124,4
34,141,5
35,0,5
35,76,4
35,140,5
36,0,4
36,4,4
36,16,4
36,29,4
36,35,4
36,51,4
36,74,4
36,81,4
36,91,4
36,135,4
37,0,4
37,2,4
37,4,4
37,5,5
37,6,4
37,8,5
37,11,4
37,16,4
37,19,4
37,22,4
37,24,4
37,43,4
37,49,5
37,51,4
37,66,4
37,114,4
38,0,5
39,0,5
39,21,5
39,37,5
39,135,3
40,0,5
41,0,5
42,0,5
42,19,5
42,103,5
43,0,3
44,0,4
44,1,4
44,4,4
44,16,4
44,66,5
44,80,5
44,84,5
45,0,5
45,1,5
45,2,5
45,4,4
45,6,5
45,8,5
45,9,5
45,13,5
45,14,5
45,18,4
45,19,4
45,20,4
45,21,4
45,22,5
45,29,5
45,35,5
45,38,5
45,39,5
45,42,5
45,43,5
45,53,5
45,76,3
45,79,5
45,90,4
45,97,4
45,99,5
45,101,5
45,106,4
45,108,5
45,114,5
45,116,4
45,124,4
45,137,4
45,140,5
45,141,5
45,144,5
45,145,5
45,147,4
45,149,5
45,152,1
45,154,5
45,157,5
45,162,5
45,167,4
45,181,4
45,186,4
45,192,5
45,201,4
46,0,5
46,12,5
46,42,5
46,74,4
46,99,5
47,0,5
47,2,5
47,3,5
47,4,5
47,5,5
47,6,5
47,9,5
47,11,5
47,12,4
47,13,5
47,21,5
47,22,5
47,37,5
47,41,5
47,44,5
48,0,5
48,2,4
48,3,4
48,4,5
48,6,5
48,8,5
48,16,5
48,23,4
48,62,4
48,76,4
48,100,4
48,105,4
48,106,4
48,137,5
48,140,4
48,149,4
48,160,4
48,162,4
48,164,4
48,169,4
48,180,4
48,186,4
48,187,4
49,0,5
49,3,5
49,7,5
49,8,5
49,11,5
49,12,5
49,21,5
49,25,5
49,41,5
49,49,5
49,52,5
49,59,5
49,69,4
49,76,4
49,79,4
49,83,5
49,99,5
49,100,4
49,110,4
49,133,5
49,142,5
49,144,5
49,146,4
49,149,4
49,167,5
49,181,5
49,184,4
49,190,4
50,0,5
50,1,5
50,2,5
50,3,5
50,4,5
50,5,5
50,6,5
50,7,5
50,8,5
50,9,4
50,10,5
50,11,5
50,12,4
50,13,4
50,14,5
50,15,4
50,16,3
50,18,3
50,19,4
50,20,5
50,21,4
50,22,5
50,24,5
50,25,4
50,28,4
50,29,4
50,33,4
50,35,4
50,37,4
50,39,4
50,41,4
50,42,4
50,43,5
50,45,4
50,49,5
50,53,4
50,54,4
50,58,4
50,61,4
50,63,3
50,65,4
50,66,5
50,67,4
50,68,3
50,69,3
50,73,5
50,79,4
50,80,5
50,83,3
50,88,4
50,89,5
50,90,5
50,91,4
50,94,3
50,97,3
50,99,4
50,103,5
50,115,4
50,116,4
50,117,5
50,123,5
50,133,4
50,137,4
50,150,4
50,154,3
50,157,4
50,167,5
50,187,4
51,0,5
51,1,5
51,2,5
51,12,4
51,193,4
52,0,5
52,2,4
52,4,5
52,5,5
52,6,5
52,8,5
52,14,5
52,18,5
52,27,5
52,32,5
52,42,4
52,43,5
52,45,5
52,52,5
52,57,5
52,61,4
52,71,5
52,75,5
52,90,5
52,91,4
52,126,4
52,128,5
52,151,5
52,170,5
53,0,5
53,12,5
53,76,5
53,117,5
53,123,4
54,0,5
54,16,5
54,24,5
54,111,5
54,123,5
54,125,5
54,133,5
54,169,5
54,176,5
55,0,5
56,0,5
56,14,5
56,135,3
56,197,4
57,0,5
58,0,5
58,2,4
59,0,5
59,2,5
59,3,5
59,4,5
59,5,5
59,8,5
59,10,5
59,11,5
59,12,5
59,13,4
59,19,5
59,21,5
59,49,5
59,58,5
59,75,5
59,76,5
59,115,4
59,187,5
59,193,5
60,0,5
60,4,5
61,0,5
61,1,5
61,3,4
61,4,4
61,5,5
61,6,5
61,8,4
61,16,4
61,22,4
61,29,4
61,43,4
61,54,4
61,67,5
61,97,4
61,133,4
62,0,5
62,1,5
62,2,5
62,3,5
62,4,5
62,5,5
62,6,5
62,8,5
62,9,5
62,10,5
62,11,5
62,12,4
62,13,5
62,16,5
62,18,5
62,19,5
62,21,5
62,22,5
62,28,5
62,29,4
62,30,4
62,33,5
62,39,5
62,43,5
62,48,5
