dataset,DouBanDatasets/Douban_202t_269266w
ALPHA,0.1
G_Size,5
Iteration Count,3
task_id,prediction_label
0,4.8
83,4.3
87,4.7
10,4.7
11,4.7
24,4.6
31,4.7
47,4.6
70,4.6
102,4.6
109,4.3
123,4.4
156,4.3
32,4.8
58,4.5
71,4.7
170,4.4
171,4.0
42,4.7
84,4.6
39,4.6
96,4.6
135,4.4
201,4.5
2,4.7
3,4.7
4,4.7
16,4.6
21,4.6
37,4.3
6,4.7
35,4.6
187,4.4
34,4.8
1,4.8
29,4.5
57,4.6
28,4.7
38,4.6
43,4.6
51,4.7
74,4.7
79,4.3
92,4.5
115,4.3
141,4.5
151,4.6
157,4.3
169,4.5
193,4.4
5,4.8
7,4.8
8,4.6
12,4.6
14,4.7
15,4.6
19,4.5
22,4.7
49,4.5
55,4.6
63,4.4
67,4.5
88,4.4
97,4.6
98,4.5
99,4.3
103,4.4
116,4.2
117,4.2
119,4.6
133,4.4
137,4.4
150,4.2
80,4.3
112,4.4
13,4.6
33,4.5
44,4.6
61,4.6
121,4.4
41,4.6
53,4.6
72,4.6
91,4.5
124,4.4
168,4.6
26,4.6
36,4.6
94,4.5
128,4.6
164,4.7
189,4.2
17,4.8
20,4.6
45,4.5
50,4.7
52,4.6
54,4.5
65,4.4
76,4.6
100,4.6
105,4.6
125,4.5
126,4.7
147,4.4
179,4.5
185,4.4
191,4.5
197,4.4
23,4.7
46,4.6
78,4.6
85,4.6
89,4.6
90,4.5
101,4.6
106,4.5
107,4.4
138,4.5
163,4.5
166,4.4
177,4.2
180,4.2
181,4.4
186,4.4
195,4.2
188,4.5
139,4.5
140,4.6
174,4.6
160,4.4
25,4.5
111,4.6
81,4.5
66,4.4
114,4.6
9,4.5
18,4.6
108,4.4
144,4.6
145,4.4
149,4.5
152,4.3
154,4.4
162,4.5
167,4.3
192,4.5
62,4.7
59,4.6
69,4.4
110,4.6
142,4.5
146,4.5
184,4.5
190,4.3
68,4.4
73,4.4
27,4.7
75,4.6
176,4.5
30,4.6
48,4.6
60,4.6
136,4.5
182,4.3
64,4.5
95,4.2
40,4.6
161,4.5
77,4.4
118,4.1
93,4.6
122,4.6
127,4.5
200,4.3
56,4.7
131,4.5
158,4.6
196,3.9
130,4.2
82,4.5
113,4.6
165,4.6
120,4.3
132,4.5
134,4.4
143,4.5
159,4.4
173,4.5
153,4.5
199,4.5
155,4.4
86,4.3
178,4.5
194,4.5
198,4.4
175,4.4
172,4.5
129,4.5
104,4.5
183,4.3
148,4.5
