# 节点数  边数   ,2692  141076
241,698
241,532
2383,1118
2383,1777
2383,814
2383,903
2383,36
2383,925
2383,2573
2383,999
619,118
619,1833
619,1373
619,452
619,2218
619,2474
619,12
619,2494
619,316
619,1943
619,150
619,455
2332,197
2332,1544
2332,2545
2332,1040
2332,616
2332,1162
2332,1356
2332,849
2332,337
2332,649
2332,1871
2332,624
2332,49
2332,737
2332,19
2332,1785
2332,1048
2332,2642
384,1512
384,2648
384,2491
384,588
384,2403
384,439
384,1272
384,1264
384,782
384,289
384,2164
384,1484
384,1640
384,2246
384,2195
384,1964
384,623
384,36
384,2686
384,1831
384,2645
384,918
384,102
384,735
384,443
384,1376
384,832
384,1438
384,1012
384,1903
384,1490
384,1882
384,2204
384,887
384,1842
384,2567
384,1353
384,1724
384,1030
384,377
384,766
384,2189
384,563
384,1844
384,426
384,1159
384,698
384,1586
384,11
384,2519
384,2343
384,2295
384,309
384,2223
384,1270
384,1889
384,1209
384,1153
384,1986
384,1712
384,1522
384,271
384,804
384,279
384,1384
384,453
384,312
384,463
384,1310
384,469
2155,1299
2155,1558
2155,1741
2155,1106
2155,1149
2155,71
2155,1759
2155,2040
2155,684
2155,48
2155,1318
2155,1459
2155,701
2155,2347
2155,1373
2155,729
2155,188
2155,983
2155,189
2155,1844
2155,1995
2155,507
2155,2569
2155,2302
2155,2652
2155,790
2155,1951
2155,767
2155,326
2155,1757
2155,154
2155,329
2183,557
2183,1312
2183,295
2183,243
2183,1911
2183,250
2183,1371
2183,240
2183,136
2183,464
2183,2149
2183,882
2183,1842
2183,1329
2183,463
1299,2155
1299,1339
1299,287
1299,1759
1299,1743
1299,1663
1299,263
1299,36
1299,240
1299,1965
1299,1222
1299,2204
1299,983
1299,2189
1299,1164
1299,507
1299,61
1299,53
1299,2043
1299,2233
1299,312
1314,2155
1314,1533
1314,197
1314,25
1314,117
1314,195
1314,1687
1314,1118
1314,1583
1314,262
1314,1317
1314,261
1314,600
1314,495
1314,1820
1314,2656
1314,1313
1314,1959
1314,1707
1314,171
1314,2272
1314,2545
1314,121
1314,1755
1314,871
1314,2393
1314,762
1314,2064
1314,2193
1314,48
1314,36
1314,925
1314,483
1314,2068
1314,927
1314,1266
1314,1172
1314,582
1314,1409
1314,1886
1314,1431
1314,1162
1314,2196
1314,543
1314,1391
1314,1783
1314,1675
1314,1320
1314,2442
1314,2482
1314,2347
1314,2534
1314,1993
1314,1292
1314,2014
1314,1373
1314,1948
1314,1032
1314,1274
1314,1514
1314,124
1314,491
1314,2204
1314,2394
1314,2218
1314,2298
1314,515
1314,1154
1314,548
1314,1010
1314,478
1314,2187
1314,2551
1314,449
1314,390
1314,852
1314,1798
1314,766
1314,2243
1314,1531
1314,1574
1314,572
1314,849
1314,1995
1314,744
1314,1410
1314,1301
1314,2029
1314,8
1314,507
1314,2413
1314,2474
1314,698
1314,457
1314,1017
1314,10
1314,575
1314,649
1314,1093
1314,4
1314,1909
1314,979
1314,2485
1314,553
1314,1547
1314,1243
1314,2581
1314,12
1314,444
1314,375
1314,1458
1314,1527
1314,1786
1314,2146
1314,1153
1314,1986
1314,1850
1314,127
1314,840
1314,2580
1314,488
1314,778
1314,2346
1314,178
1314,1600
1314,93
1314,2406
1314,60
1314,298
1314,1970
1314,576
1314,1037
1314,690
1314,2134
1314,2570
1314,2230
1314,1585
1314,1701
1314,323
1314,2353
1314,503
1314,1868
1314,389
1314,984
1314,1344
1314,150
1314,2289
1314,748
1314,199
1314,898
1314,1713
1314,2334
1314,578
1314,1940
1314,1294
1314,900
1314,24
1314,455
1314,43
1314,1661
403,2628
403,1741
403,2269
403,1339
403,2188
403,525
403,413
403,160
403,1765
403,1972
403,1313
403,1959
403,618
403,824
403,1681
403,153
403,2246
403,530
403,1719
403,743
403,2195
403,528
403,537
403,1964
403,903
403,36
403,322
403,102
403,1331
403,700
403,142
403,1739
403,293
403,332
403,2149
403,1724
403,2670
403,766
403,577
403,398
403,656
403,1186
403,1949
403,139
403,411
403,2399
403,1207
403,1285
403,1480
403,2126
403,569
403,279
403,323
403,316
403,1384
403,834
403,626
403,425
403,742
403,15
403,366
403,2601
403,1654
403,2541
403,2156
1405,722
1405,1312
1405,1106
1405,2190
1405,906
1405,1820
1405,2215
1405,1832
1405,2136
1405,2272
1405,1853
1405,153
1405,1455
1405,2138
1405,1171
1405,1007
1405,1392
1405,2214
1405,2262
1405,2173
1405,2643
1405,1162
1405,1085
1405,64
1405,373
1405,1914
1405,2557
1405,1799
1405,491
1405,2394
1405,1692
1405,314
1405,2266
1405,1352
1405,434
1405,1027
1405,719
1405,1419
1405,1529
1405,1867
1405,1407
1405,1791
1405,849
1405,1253
1405,2646
1405,1620
1405,134
1405,2660
1405,2355
1405,1458
1405,2263
1405,2371
1405,107
1405,1669
1405,2422
1405,127
1405,2410
1405,1949
1405,2346
1405,1600
1405,749
1405,2273
1405,2161
1405,1992
1405,2436
1405,1219
1405,2198
1405,1847
1405,108
1405,162
1405,2118
1405,1367
2271,2183
2271,1366
2271,634
2271,2439
2271,1964
2271,1569
2271,1541
2271,240
2271,2343
2458,2452
2458,760
2458,1494
2458,1681
2458,566
2458,2394
2458,503
2628,384
2628,2155
2628,2183
2628,1741
2628,557
2628,1544
2628,1339
2628,1366
2628,901
2628,2614
2628,287
2628,2403
2628,2662
2628,699
2628,2100
2628,1759
2628,2122
2628,1707
2628,1743
2628,618
2628,2272
2628,1640
2628,2484
2628,530
2628,2342
2628,1422
2628,315
2628,1964
2628,1437
2628,903
2628,118
2628,36
2628,2620
2628,1097
2628,691
2628,2037
2628,1831
2628,616
2628,136
2628,918
2628,1655
2628,1376
2628,2199
2628,2314
2628,1519
2628,2573
2628,1438
2628,504
2628,2534
2628,1373
2628,1561
2628,1032
2628,842
2628,2688
2628,332
2628,2394
2628,1590
2628,314
2628,1842
2628,1724
2628,766
2628,2542
2628,1920
2628,1844
2628,744
2628,2490
2628,1628
2628,629
2628,1479
2628,1159
2628,656
2628,206
2628,649
2628,11
2628,2579
2628,2180
2628,1598
2628,728
2628,2223
2628,2015
2628,2146
2628,1153
2628,107
2628,642
2628,944
2628,863
2628,1949
2628,1874
2628,1054
2628,139
2628,1521
2628,1287
2628,1037
2628,1984
2628,804
2628,2126
2628,146
2628,1567
2628,1477
2628,2520
2628,1960
2628,1350
2628,1384
2628,150
2628,453
2628,915
2628,154
2628,1720
2628,2541
811,1933
811,249
811,102
811,2463
811,2343
811,937
811,2021
811,810
892,241
892,2183
892,2458
892,811
892,1326
892,557
892,722
892,1610
892,1687
892,940
892,2575
892,2648
892,2105
892,2055
892,1339
892,974
892,2188
892,2270
892,967
892,889
892,160
892,2190
892,901
892,591
892,509
892,94
892,1765
892,634
892,1087
892,1412
892,1115
892,2053
892,699
892,2253
892,2100
892,313
892,2539
892,585
892,1959
892,1743
892,1832
892,129
892,2049
892,2109
892,2439
892,1269
892,263
892,2477
892,1681
892,153
892,292
892,1116
892,35
892,566
892,807
892,1455
892,2484
892,869
892,888
892,2110
892,1719
892,743
892,1907
892,2195
892,528
892,319
892,962
892,1815
892,2320
892,2193
892,166
892,315
892,2638
892,1885
892,1964
892,903
892,1926
892,1933
892,36
892,1679
892,1569
892,2620
892,1827
892,1007
892,1097
892,1413
892,2039
892,925
892,1945
892,2593
892,1549
892,2360
892,1822
892,104
892,249
892,2669
892,2451
892,322
892,1690
892,1190
892,1541
892,240
892,2462
892,1441
892,2467
892,1349
892,1483
892,671
892,881
892,1498
892,1459
892,102
892,2318
892,2643
892,1079
892,1513
892,1370
892,543
892,832
892,1836
892,1725
892,2676
892,2483
892,64
892,2442
892,95
892,78
892,2192
892,373
892,885
892,2572
892,1023
892,2607
892,1485
892,1722
892,565
892,1443
892,2394
892,1672
892,2218
892,2212
892,2149
892,2429
892,2026
892,1716
892,1394
892,2567
892,729
892,2266
892,2050
892,1961
892,1724
892,2463
892,1030
892,1053
892,2658
892,1343
892,2624
892,1316
892,1529
892,255
892,1867
892,1546
892,2243
892,1531
892,57
892,848
892,1705
892,1791
892,744
892,1043
892,651
892,2018
892,1918
892,1776
892,208
892,1818
892,2029
892,2646
892,173
892,61
892,1662
892,2097
892,1551
892,2457
892,679
892,268
892,1909
892,2660
892,2302
892,2130
892,2428
892,1547
892,902
892,372
892,2518
892,444
892,2038
892,1458
892,1717
892,1192
892,107
892,886
892,2685
892,1893
892,965
892,1949
892,1828
892,409
892,1044
892,2341
892,402
892,2389
892,21
892,1996
892,830
892,1950
892,2406
892,411
892,343
892,749
892,1521
892,1121
892,790
892,1426
892,2161
892,1992
892,586
892,1304
892,1740
892,2126
892,690
892,569
892,2306
892,279
892,209
892,850
892,1403
892,323
892,1169
892,2553
892,1291
892,2552
892,2135
892,2487
892,1766
892,1757
892,870
892,1156
892,1362
892,154
892,1181
892,1713
892,463
892,564
892,1367
892,946
892,2319
892,1036
892,1109
892,2541
892,2508
892,1988
892,1427
2292,2183
2292,1801
2292,1741
2292,1900
2292,1339
2292,2264
2292,2689
2292,699
2292,782
2292,1640
2292,1681
2292,153
2292,877
2292,2333
2292,2620
2292,1497
2292,102
2292,1409
2292,1162
2292,1839
2292,64
2292,95
2292,293
2292,1670
2292,1545
2292,383
2292,130
2292,2204
2292,1289
2292,2026
2292,314
2292,1127
2292,44
2292,983
2292,377
2292,1746
2292,1844
2292,2674
2292,744
2292,2498
2292,496
2292,696
2292,2649
2292,541
2292,2460
2292,698
2292,1586
2292,717
2292,1357
2292,2295
2292,844
2292,2166
2292,1404
2292,107
2292,2456
2292,1828
2292,2511
2292,437
2292,1874
2292,1275
2292,1267
2292,1951
2292,1854
2292,574
2292,137
2292,2480
2292,378
2292,2520
2292,2072
2292,108
2292,712
2292,564
2292,539
2292,900
2292,2059
2292,2541
2292,2156
1801,2155
1801,913
1801,557
1801,1687
1801,1106
1801,291
1801,2264
1801,1765
1801,1114
1801,287
1801,2215
1801,1663
1801,172
1801,1853
1801,1640
1801,2177
1801,404
1801,121
1801,1021
1801,1455
1801,528
1801,1104
1801,1437
1801,36
1801,1569
1801,1097
1801,799
1801,1822
1801,322
1801,240
1801,1553
1801,2037
1801,1483
1801,102
1801,99
1801,64
1801,1268
1801,78
1801,2192
1801,2573
1801,1023
1801,2606
1801,1914
1801,1289
1801,2303
1801,2218
1801,2358
1801,2026
1801,1842
1801,2266
1801,1758
1801,377
1801,1920
1801,1791
1801,1039
1801,1818
1801,2646
1801,1747
1801,1778
1801,2063
1801,2569
1801,783
1801,2457
