worker_id,task_id,label,truth
0,0,5,4.1
0,83,4,3.1
0,87,5,4.7
1,0,5,4.1
2,0,5,4.1
2,10,5,4.5
2,11,4,2.9
2,24,4,4.0
2,31,4,3.8
2,47,3,3.5
2,70,4,4.2
2,102,3,4.4
2,109,4,4.8
2,123,4,3.2
2,156,3,3.0
3,0,5,4.1
3,32,5,4.8
3,58,3,2.7
3,71,5,3.8
3,170,4,3.2
4,0,5,4.1
4,11,5,2.9
5,0,5,4.1
6,0,1,4.1
6,11,5,2.9
6,171,1,4.7
7,0,5,4.1
8,0,5,4.1
8,42,5,4.0
8,84,5,3.9
9,0,5,4.1
9,10,5,4.5
9,39,5,3.9
9,96,5,3.8
9,135,3,3.0
9,201,4,3.3
10,0,5,4.1
10,2,5,4.1
10,3,5,3.8
10,4,5,3.2
10,16,4,3.9
10,21,4,2.2
10,37,4,3.3
11,0,5,4.1
11,4,5,3.2
11,6,4,4.8
11,35,4,4.0
11,187,5,4.7
12,0,5,4.1
12,34,5,3.5
13,0,5,4.1
13,1,4,4.2
13,4,4,3.2
13,24,5,4.0
13,29,4,4.4
13,35,4,4.0
13,57,4,3.3
14,0,5,4.1
14,1,5,4.2
14,2,5,4.1
14,3,5,3.8
14,4,4,3.2
14,6,5,4.8
14,11,5,2.9
14,21,4,2.2
14,24,5,4.0
14,28,5,4.8
14,38,4,4.2
14,43,5,3.9
14,51,4,4.0
14,74,5,3.5
14,79,4,3.2
14,92,4,3.9
14,115,5,4.1
14,141,4,4.3
14,151,4,5.0
14,157,4,4.0
14,169,4,4.8
14,193,5,4.7
15,0,4,4.1
15,3,5,3.8
15,5,3,3.0
15,6,4,4.8
15,7,4,4.8
15,8,4,3.7
15,11,4,2.9
15,12,3,3.4
15,14,4,4.8
15,15,5,3.8
15,16,4,3.9
15,19,3,3.2
15,21,3,2.2
15,22,4,4.3
15,29,2,4.4
15,35,3,4.0
15,38,5,4.2
15,39,4,3.9
15,49,4,4.4
15,55,4,2.8
15,63,3,4.2
15,67,4,4.4
15,88,3,3.7
15,97,4,3.5
15,98,4,2.2
15,99,4,3.7
15,103,3,4.0
15,115,4,4.1
15,116,4,3.6
15,117,2,3.6
15,119,4,2.9
15,133,4,4.0
15,137,3,2.8
15,141,5,4.3
15,150,5,4.2
15,157,4,4.0
15,169,4,4.8
15,171,4,4.7
15,187,3,4.7
16,0,5,4.1
16,2,5,4.1
16,3,5,3.8
16,8,5,3.7
16,15,4,3.8
16,19,4,3.2
16,22,5,4.3
16,80,5,3.2
16,112,5,4.0
17,0,4,4.1
17,2,4,4.1
17,4,5,3.2
17,13,5,2.8
17,29,5,4.4
17,33,5,4.1
17,44,5,4.0
17,58,4,2.7
17,61,5,4.2
17,79,4,3.2
17,121,4,2.9
18,0,5,4.1
18,41,4,3.0
18,53,5,3.6
18,72,5,3.5
18,91,5,3.4
18,109,4,4.8
18,124,5,3.5
18,168,4,4.2
19,0,5,4.1
19,1,5,4.2
19,3,5,3.8
19,4,4,3.2
19,5,5,3.0
19,16,4,3.9
19,21,5,2.2
19,83,4,3.1
19,88,4,3.7
19,99,4,3.7
19,157,4,4.0
20,0,5,4.1
20,1,5,4.2
20,2,5,4.1
20,4,5,3.2
20,12,5,3.4
20,21,5,2.2
20,26,5,3.2
20,36,5,3.8
20,42,3,4.0
20,43,5,3.9
20,71,4,3.8
20,88,5,3.7
20,94,3,3.9
20,117,4,3.6
20,121,4,2.9
20,128,5,4.7
20,164,4,5.0
20,169,4,4.8
20,187,5,4.7
20,189,4,4.0
20,193,4,4.7
