dataset,DouBanDatasets_RedundancyCut/Douban_202t_145w_4r
ALPHA,0.1
G_Size,5
Iteration Count,97
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0049504950305441645
2.3,3.991578905619317e-12
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.004954474546020016
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,1.2324610561509611e-08
3.6,0.09595799627384902
3.7,0.0
3.8,0.07408682072423221
3.9,0.012370289949956717
4.0,0.06298750958877647
4.1,0.054607259566471146
4.2,0.27665487242325026
4.3,0.0
4.4,0.0
4.5,0.18548544672423747
4.6,0.0
4.7,0.0
4.8,0.20200676341563178
4.9,0.0
5.0,0.025938059428421333
