dataset,DouBanDatasets_RedundancyCut/Douban_202t_1689w
ALPHA,0.1
G_Size,5
task_id,prediction_label
0,4.799980070891583
197,4.494238558054961
135,4.40071655032932
14,4.7002207849778035
1,4.799993201450386
158,4.708655257182981
156,4.49990367568637
109,4.503263895282919
131,4.6007016863454355
127,4.496317227602353
11,4.600900628864288
67,4.500795103146312
56,4.500575250543005
44,4.694437886021831
100,4.420786177977304
73,4.4031222238621295
63,4.400408149941445
200,4.199858382476353
2,4.6994693010423925
148,4.49754751013919
10,4.5004215434868415
12,4.498933509069323
68,4.402694366829259
66,4.495524468919944
46,4.500045865238196
105,4.506888324481371
28,4.699807015656269
201,4.100000000056547
96,4.602399007335938
39,4.501150950617898
6,4.7999995100446675
87,4.798794916144879
95,4.1690972560583095
142,4.500113579085553
140,4.400407820959979
134,4.49892783863312
126,4.799999921940822
123,4.400630688809163
74,4.501626501937839
69,4.415594253173556
24,4.40029806266723
26,4.49946914621278
83,4.198586564514643
3,4.499828102814299
168,4.500311700213055
157,4.19936782747256
132,4.498508472685259
71,4.699542299667539
70,4.4022144784169335
65,4.600068908893031
43,4.601200974660733
42,4.691708256418724
41,4.698861142254179
145,4.671588198023956
187,4.4003694162740326
4,4.799998350740989
7,4.700056290236277
8,4.700653100731127
172,4.198650682119292
170,4.401174960282494
167,4.40510659605627
91,4.505758554229435
164,4.79999999999999
97,4.504920144110203
150,4.190997960949719
103,4.695270076881113
111,4.400028592170716
114,4.475341901968004
81,4.508605437522107
78,4.500659864894992
15,4.699914404513546
54,4.199148048406893
25,4.599395459136372
50,4.499575913589337
47,4.199929160540102
45,4.509378746018768
32,4.799994043386182
35,4.507939511728733
16,4.608335555773653
193,4.401666482724188
5,4.799455912042566
183,4.1999995906158425
180,4.099929911333689
177,4.4348209126620235
174,4.799999999999767
173,4.696396601306113
88,4.496560056702488
89,4.400597869178984
163,4.199999797487813
93,4.499559074104328
94,4.501086878041961
98,4.699469799263631
153,4.503206281600343
152,4.199796796342604
104,4.498815163557489
138,4.400985868887427
129,4.502496699693586
113,4.599405446278695
124,4.197071751256406
119,4.500838305618865
80,4.40141501317697
79,4.50143431758847
13,4.700028933656558
76,4.499671197209593
18,4.699980114444101
19,4.199886005248234
61,4.700036722529811
60,4.499492032039497
58,4.499247932362602
22,4.700183702326273
55,4.400239043963546
53,4.499951366367049
52,4.609691452831966
49,4.699998831975398
29,4.401089824819014
40,4.404013919653698
37,4.470641445154461
33,4.199879561580902
34,4.700219570997888
188,4.40074134669972
185,4.400008687264033
181,4.199937044023239
179,4.199948838009345
169,4.492201677796648
90,4.5011088773037855
159,4.199981892038921
147,4.400670997442444
144,4.616160803916214
143,4.49938161954293
120,4.11802327603788
72,4.477806001096385
62,4.699990991184518
59,4.600105851935324
57,4.600239196763206
23,4.699999441377133
48,4.6005048579196295
31,4.407321723305392
38,4.59697542490312
101,4.400796868320919
184,4.59939698055885
30,4.4004502487124935
194,4.199682703718371
196,4.088321435226175
189,4.094541786035989
176,4.096781436076331
175,4.600565560423818
154,4.5004898003946305
149,4.4013458495787
137,4.199999590498095
108,4.4180380876727146
133,4.49992522912729
128,4.497717387577163
112,4.402137742854565
125,4.198720747101318
116,4.19999368381652
117,4.198400182738854
9,4.49804456567046
84,4.651019515317242
64,4.1982150445678155
191,4.4007877796314805
171,4.497698603077926
139,4.498229059222087
178,4.499916163039464
155,4.6971890224479536
102,4.610281926852766
141,4.602042113524896
118,3.800000000003585
21,4.601150072780252
161,4.403459809559971
115,4.197753145207274
27,4.700011353095589
85,4.49455210324962
51,4.699741779810226
198,4.099999999940934
195,4.100003900607001
186,4.400344362934928
182,4.400574335451863
166,4.496364340588272
160,4.501450793932558
92,4.699290450010634
136,4.50078052503593
107,4.199947727105789
82,4.198442178933009
20,4.498045642014836
36,4.401189502139031
190,4.1
86,4.100019277163308
162,4.199930980586621
151,4.500175234919216
146,4.502544966372188
106,4.402324025137457
130,4.100000003216877
110,4.4997366532340495
121,4.0
122,4.4001260182753485
77,4.0
75,4.700003563851385
17,4.799999892197098
192,4.496335022403396
165,4.40376711730076
99,4.484319514617901
199,4.404963462407111
