dataset,DouBanDatasets_RedundancyCut/Douban_202t_2618w
ALPHA,0.1
G_Size,5
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.005016366676455444
4.0,0.008914529089988668
4.1,0.05556647161449456
4.2,0.06476160729434285
4.3,0.09773450760712753
4.4,0.2421122226137915
4.5,0.2522419334795981
4.6,0.1396799950734686
4.7,0.07943494939886599
4.8,0.054537417151860244
4.9,0.0
5.0,0.0
