worker_id,task_id,label
0,0,5
0,197,4
0,135,3
0,14,5
1,0,5
1,1,5
1,158,5
1,156,4
1,109,5
1,131,5
1,127,5
1,11,5
1,67,5
1,56,5
1,44,5
2,0,5
2,100,5
2,73,5
2,63,4
2,56,5
3,200,4
3,0,5
3,2,5
3,148,4
3,127,4
3,10,5
3,12,4
3,68,4
3,66,4
3,63,4
4,0,4
4,46,5
5,0,4
5,2,5
5,11,4
5,14,3
6,0,5
6,105,5
6,28,5
7,0,5
7,201,4
7,96,5
7,135,3
7,10,5
7,39,5
8,0,5
8,1,4
8,6,5
8,87,5
8,158,4
8,95,3
8,148,4
8,142,5
8,140,5
8,134,4
8,126,5
8,123,5
8,11,4
8,74,3
8,69,5
8,68,4
8,24,5
8,26,4
9,197,5
9,1,5
9,184,5
9,6,5
9,178,5
9,177,5
9,8,5
9,9,4
9,89,5
9,90,5
9,159,4
9,96,5
9,155,5
9,153,4
9,150,5
9,102,5
9,142,3
9,141,3
9,135,5
9,118,2
9,120,3
9,12,4
9,14,4
9,67,4
9,66,4
9,63,5
9,21,4
9,54,4
9,25,4
9,28,5
9,48,4
9,42,4
10,1,5
10,8,5
11,1,5
11,73,5
11,72,4
12,1,5
12,171,5
12,100,5
12,102,5
12,135,4
12,74,4
12,58,4
12,54,5
12,29,4
12,37,5
12,35,5
13,1,5
13,187,4
13,6,5
13,172,3
13,169,4
13,161,5
13,158,5
13,94,5
13,156,4
13,148,4
13,109,4
13,81,5
13,47,3
13,30,4
14,1,5
15,1,5
15,2,5
15,135,4
15,115,3
15,12,5
15,27,5
15,46,5
16,201,4
16,197,5
16,192,5
16,2,3
16,174,5
16,165,4
16,150,3
16,102,5
16,135,4
16,126,5
16,114,4
16,81,5
16,21,5
16,22,4
16,37,5
17,2,5
17,187,5
17,5,5
17,176,4
17,85,5
17,161,4
17,94,5
17,156,5
17,96,5
17,148,4
17,109,5
17,123,5
17,9,5
17,25,5
17,26,5
17,30,4
17,45,5
18,2,5
18,153,5
18,127,4
19,2,5
19,8,4
19,69,3
19,58,4
20,2,4
20,133,5
20,16,5
21,201,4
21,200,4
21,197,4
21,193,4
21,2,4
21,3,4
21,5,4
21,6,5
21,183,4
21,180,4
21,7,4
21,177,4
21,8,4
21,174,4
21,173,4
21,170,3
21,87,5
21,88,4
21,89,4
21,91,4
21,163,4
21,93,4
21,94,4
21,96,5
21,97,4
21,98,4
21,153,4
21,152,4
21,150,4
21,100,4
21,145,4
21,104,4
21,138,4
21,135,4
21,131,4
21,129,4
21,113,4
21,124,3
21,119,4
21,10,4
21,11,4
21,83,4
21,81,4
21,80,5
21,12,4
21,79,4
21,13,4
21,14,4
21,76,4
21,15,4
21,73,4
21,70,4
21,69,4
21,18,4
21,66,4
21,19,4
21,65,4
21,63,4
21,61,4
21,60,4
21,58,4
21,22,5
21,56,4
21,55,4
21,54,4
21,53,4
21,52,4
21,25,4
21,49,4
21,29,2
21,46,4
21,43,4
21,42,4
21,41,4
21,40,4
21,39,4
21,37,4
21,33,4
21,34,4
22,192,4
22,191,4
22,3,5
22,180,5
22,6,5
22,87,5
22,92,5
22,98,5
22,150,4
22,148,4
22,138,5
22,11,5
22,13,5
22,72,4
22,63,5
22,61,5
22,55,5
22,44,4
22,42,5
22,41,4
22,35,5
23,200,4
23,193,4
23,3,3
23,170,5
23,87,5
23,88,5
23,91,4
23,158,5
23,153,5
23,135,4
23,119,4
23,10,4
23,11,5
23,69,5
23,58,4
23,54,5
23,33,4
24,3,3
24,29,5
25,3,5
25,4,5
25,174,5
25,91,5
25,97,5
25,153,5
25,139,4
25,129,4
25,56,5
26,3,5
26,151,5
26,107,5
26,53,5
26,51,5
26,26,4
27,3,4
27,168,5
27,157,3
27,131,5
27,11,5
27,132,5
27,71,5
27,70,4
27,65,5
27,63,5
27,43,5
27,42,4
27,41,5
28,3,4
28,90,5
28,44,5
29,197,4
29,3,5
29,188,3
29,5,4
29,185,4
29,181,4
29,179,3
29,7,5
29,8,5
29,173,5
29,169,4
29,89,4
29,90,5
29,91,5
29,163,4
29,159,4
29,158,5
29,157,4
29,93,5
29,150,5
29,147,4
29,103,4
29,144,3
29,143,4
29,134,4
29,132,4
29,131,5
29,126,4
29,124,4
29,119,4
29,10,4
29,120,4
29,11,3
29,79,4
29,73,3
29,72,4
29,71,5
29,67,4
29,18,4
29,65,3
29,62,5
29,61,3
29,60,5
29,59,4
29,57,3
29,23,4
29,54,4
29,53,4
29,48,4
29,28,4
29,47,5
29,44,4
29,31,4
29,41,3
29,38,5
29,32,5
30,4,5
30,119,5
30,62,5
30,53,3
31,4,5
31,95,5
31,109,4
31,123,4
31,122,5
31,9,5
31,24,5
31,32,5
31,35,5
32,197,4
32,4,4
32,185,4
32,156,5
32,148,5
32,138,4
32,58,4
33,4,5
34,4,5
34,5,4
34,7,5
35,4,4
36,4,5
36,87,5
36,153,5
36,72,5
37,187,4
37,4,4
37,7,5
37,8,5
37,172,5
37,170,5
37,167,4
37,91,5
37,164,5
37,156,4
37,95,4
37,97,4
37,150,4
37,100,5
37,103,5
37,111,4
37,114,5
37,11,5
37,81,4
37,12,5
37,78,4
37,14,5
37,15,5
37,71,5
37,70,5
37,68,5
37,66,4
37,63,5
37,54,5
37,25,5
37,50,4
37,47,5
37,45,5
37,32,5
37,35,4
38,193,5
38,5,5
38,176,4
38,85,5
