worker_id,task_id,label,truth
0,0,5,4.1
0,197,4,2.9
0,135,3,3.0
0,14,5,4.8
1,0,5,4.1
1,1,5,4.2
1,158,5,4.5
1,156,4,3.0
1,109,5,4.8
1,131,5,4.8
1,127,5,4.3
1,11,5,2.9
1,67,5,4.4
1,56,5,4.5
1,44,5,4.0
2,0,5,4.1
2,100,5,4.5
2,73,5,4.8
2,63,4,4.2
2,56,5,4.5
3,200,4,2.8
3,0,5,4.1
3,2,5,4.1
3,148,4,4.7
3,127,4,4.3
3,10,5,4.5
3,12,4,3.4
3,68,4,3.3
3,66,4,3.1
3,63,4,4.2
4,0,4,4.1
4,46,5,3.6
5,0,4,4.1
5,2,5,4.1
5,11,4,2.9
5,14,3,4.8
6,0,5,4.1
6,105,5,3.8
6,28,5,4.8
7,0,5,4.1
7,201,4,3.3
7,96,5,3.8
7,135,3,3.0
7,10,5,4.5
7,39,5,3.9
8,0,5,4.1
8,1,4,4.2
8,6,5,4.8
8,87,5,4.7
8,158,4,4.5
8,95,3,3.9
8,148,4,4.7
8,142,5,3.8
8,140,5,3.9
8,134,4,3.9
8,126,5,4.9
8,123,5,3.2
8,11,4,2.9
8,74,3,3.5
8,69,5,1.5
8,68,4,3.3
8,24,5,4.0
8,26,4,3.2
9,197,5,2.9
9,1,5,4.2
9,184,5,4.5
9,6,5,4.8
9,178,5,3.2
9,177,5,3.5
9,8,5,3.7
9,9,4,3.7
9,89,5,4.3
9,90,5,3.4
9,159,4,2.1
9,96,5,3.8
9,155,5,4.2
9,153,4,3.5
9,150,5,4.2
9,102,5,4.4
9,142,3,3.8
9,141,3,4.3
9,135,5,3.0
9,118,2,4.0
9,120,3,4.0
9,12,4,3.4
9,14,4,4.8
9,67,4,4.4
9,66,4,3.1
9,63,5,4.2
9,21,4,2.2
9,54,4,3.5
9,25,4,4.2
9,28,5,4.8
9,48,4,4.5
9,42,4,4.0
10,1,5,4.2
10,8,5,3.7
11,1,5,4.2
11,73,5,4.8
11,72,4,3.5
12,1,5,4.2
12,171,5,4.7
12,100,5,4.5
12,102,5,4.4
12,135,4,3.0
12,74,4,3.5
12,58,4,2.7
12,54,5,3.5
12,29,4,4.4
12,37,5,3.3
12,35,5,4.0
13,1,5,4.2
13,187,4,4.7
13,6,5,4.8
13,172,3,2.5
13,169,4,4.8
13,161,5,4.0
13,158,5,4.5
13,94,5,3.9
13,156,4,3.0
13,148,4,4.7
13,109,4,4.8
13,81,5,4.1
13,47,3,3.5
13,30,4,3.1
14,1,5,4.2
15,1,5,4.2
15,2,5,4.1
15,135,4,3.0
15,115,3,4.1
15,12,5,3.4
15,27,5,4.7
15,46,5,3.6
16,201,4,3.3
16,197,5,2.9
16,192,5,3.5
16,2,3,4.1
16,174,5,3.8
16,165,4,3.6
16,150,3,4.2
16,102,5,4.4
16,135,4,3.0
16,126,5,4.9
16,114,4,4.6
16,81,5,4.1
16,21,5,2.2
16,22,4,4.3
16,37,5,3.3
17,2,5,4.1
17,187,5,4.7
17,5,5,3.0
17,176,4,3.3
17,85,5,4.7
17,161,4,4.0
17,94,5,3.9
17,156,5,3.0
17,96,5,3.8
17,148,4,4.7
17,109,5,4.8
17,123,5,3.2
17,9,5,3.7
17,25,5,4.2
17,26,5,3.2
17,30,4,3.1
17,45,5,4.6
18,2,5,4.1
18,153,5,3.5
18,127,4,4.3
19,2,5,4.1
19,8,4,3.7
19,69,3,1.5
19,58,4,2.7
20,2,4,4.1
20,133,5,4.0
20,16,5,3.9
21,201,4,3.3
21,200,4,2.8
21,197,4,2.9
21,193,4,4.7
21,2,4,4.1
21,3,4,3.8
21,5,4,3.0
21,6,5,4.8
21,183,4,3.1
21,180,4,4.3
21,7,4,4.8
21,177,4,3.5
21,8,4,3.7
21,174,4,3.8
21,173,4,4.9
21,170,3,3.2
21,87,5,4.7
21,88,4,3.7
21,89,4,4.3
21,91,4,3.4
21,163,4,3.2
21,93,4,3.2
21,94,4,3.9
21,96,5,3.8
21,97,4,3.5
21,98,4,2.2
21,153,4,3.5
21,152,4,3.0
21,150,4,4.2
21,100,4,4.5
21,145,4,4.0
21,104,4,4.0
21,138,4,4.0
21,135,4,3.0
21,131,4,4.8
21,129,4,2.4
21,113,4,3.4
21,124,3,3.5
21,119,4,2.9
21,10,4,4.5
21,11,4,2.9
21,83,4,3.1
21,81,4,4.1
21,80,5,3.2
21,12,4,3.4
21,79,4,3.2
21,13,4,2.8
21,14,4,4.8
21,76,4,3.9
21,15,4,3.8
21,73,4,4.8
21,70,4,4.2
21,69,4,1.5
21,18,4,5.0
21,66,4,3.1
21,19,4,3.2
21,65,4,4.3
21,63,4,4.2
21,61,4,4.2
21,60,4,4.5
21,58,4,2.7
21,22,5,4.3
21,56,4,4.5
21,55,4,2.8
21,54,4,3.5
21,53,4,3.6
21,52,4,3.3
21,25,4,4.2
21,49,4,4.4
21,29,2,4.4
21,46,4,3.6
21,43,4,3.9
21,42,4,4.0
21,41,4,3.0
21,40,4,4.3
21,39,4,3.9
21,37,4,3.3
21,33,4,4.1
21,34,4,3.5
22,192,4,3.5
22,191,4,2.2
22,3,5,3.8
22,180,5,4.3
22,6,5,4.8
22,87,5,4.7
22,92,5,3.9
22,98,5,2.2
22,150,4,4.2
