task_id,truth
0,4.1
1,4.2
2,4.1
3,3.8
4,3.2
5,3.0
6,4.8
7,4.8
8,3.7
9,3.7
10,4.5
11,2.9
12,3.4
13,2.8
14,4.8
15,3.8
16,3.9
17,3.8
18,5.0
19,3.2
20,2.9
21,2.2
22,4.3
23,3.8
24,4.0
25,4.2
26,3.2
27,4.7
28,4.8
29,4.4
30,3.1
31,3.8
32,4.8
33,4.1
34,3.5
35,4.0
36,3.8
37,3.3
38,4.2
39,3.9
40,4.3
41,3.0
42,4.0
43,3.9
44,4.0
45,4.6
46,3.6
47,3.5
48,4.5
49,4.4
50,2.8
51,4.0
52,3.3
53,3.6
54,3.5
55,2.8
56,4.5
57,3.3
58,2.7
59,3.1
60,4.5
61,4.2
62,3.9
63,4.2
64,4.2
65,4.3
66,3.1
67,4.4
68,3.3
69,1.5
70,4.2
71,3.8
72,3.5
73,4.8
74,3.5
75,4.8
76,3.9
77,4.1
78,2.6
79,3.2
80,3.2
81,4.1
82,4.0
83,3.1
84,3.9
85,4.7
86,3.1
87,4.7
88,3.7
89,4.3
90,3.4
91,3.4
92,3.9
93,3.2
94,3.9
95,3.9
96,3.8
97,3.5
98,2.2
99,3.7
100,4.5
101,3.5
102,4.4
103,4.0
104,4.0
105,3.8
106,2.8
107,2.8
108,3.8
109,4.8
110,3.0
111,3.5
112,4.0
113,3.4
114,4.6
115,4.1
116,3.6
117,3.6
118,4.0
119,2.9
120,4.0
121,2.9
122,1.4
123,3.2
124,3.5
125,3.5
126,4.9
127,4.3
128,4.7
129,2.4
130,2.3
131,4.8
132,4.4
133,4.0
134,3.9
135,3.0
136,4.0
137,2.8
138,4.0
139,4.2
140,3.9
141,4.3
142,3.8
143,3.0
144,4.7
145,4.0
146,3.9
147,4.5
148,4.7
149,3.6
150,4.2
151,5.0
152,3.0
153,3.5
154,2.8
155,4.2
156,3.0
157,4.0
158,4.5
159,2.1
160,4.2
161,4.0
162,3.9
163,3.2
164,5.0
165,3.6
166,2.6
167,3.7
168,4.2
169,4.8
170,3.2
171,4.7
172,2.5
173,4.9
174,3.8
175,4.5
176,3.3
177,3.5
178,3.2
179,4.3
180,4.3
181,3.2
182,3.2
183,3.1
184,4.5
185,3.6
186,3.1
187,4.7
188,4.4
189,4.0
190,3.6
191,2.2
192,3.5
193,4.7
194,3.1
195,3.4
196,3.2
197,2.9
198,2.6
199,3.8
200,2.8
201,3.3
