# 节点数  边数   ,526  6775
471,273
508,395
508,506
508,49
508,467
508,497
508,47
466,19
466,395
466,275
406,185
406,248
406,392
406,87
406,40
406,49
406,496
406,250
406,79
207,406
207,425
207,437
207,448
207,172
207,418
207,413
207,358
207,88
207,294
207,28
207,284
207,269
207,275
207,263
207,90
207,258
207,39
207,422
207,365
207,302
207,369
303,191
303,245
303,495
303,222
303,481
303,525
303,210
303,25
303,372
303,408
139,403
139,473
139,191
139,232
139,479
139,333
139,459
139,268
139,495
139,38
139,158
139,472
139,274
139,439
139,222
139,392
139,103
139,383
139,487
139,215
139,267
139,171
139,358
139,273
139,269
139,255
139,240
139,372
139,192
139,369
139,163
139,237
425,207
425,191
425,223
425,292
425,210
425,63
425,467
425,14
293,291
293,395
293,120
293,294
293,85
293,344
403,523
403,374
403,254
403,445
403,413
403,496
403,85
403,302
403,478
22,473
22,266
22,104
22,109
22,509
22,280
22,245
22,479
22,523
22,511
22,321
22,291
22,117
22,495
22,257
22,222
22,375
22,462
22,507
22,387
22,437
22,288
22,448
22,254
22,164
22,231
22,518
22,87
22,384
22,487
22,455
22,172
22,428
22,292
22,413
22,162
22,397
22,210
22,88
22,294
22,386
22,284
22,269
22,275
22,393
22,453
22,480
22,469
22,372
22,461
22,256
22,242
22,36
22,192
22,169
22,163
22,408
22,175
22,237
236,473
236,444
236,191
236,337
236,523
236,231
236,273
236,368
107,406
107,425
107,473
107,266
107,191
107,244
107,253
107,337
107,505
107,309
107,459
107,268
107,117
107,364
107,492
107,274
107,439
107,500
107,58
107,392
107,374
107,448
107,254
107,518
107,384
107,445
107,383
107,487
107,296
107,37
107,413
107,273
107,88
107,269
107,497
107,275
107,247
107,277
107,469
107,90
107,491
107,111
107,239
107,372
107,242
107,422
107,190
107,192
107,233
107,302
107,169
107,516
266,430
266,271
266,288
266,254
266,53
266,452
266,2
266,85
266,514
266,67
503,100
503,245
503,297
503,288
503,200
503,172
503,338
503,37
503,95
503,294
503,522
503,237
56,109
56,309
56,268
56,98
56,416
56,215
56,296
56,157
56,8
56,496
56,269
56,372
56,217
352,459
352,254
352,200
352,423
352,438
352,487
352,496
356,473
356,244
356,505
356,222
356,254
356,231
356,242
356,68
166,337
166,509
166,222
166,423
166,215
166,376
166,302
323,406
323,473
323,332
323,407
323,505
323,333
323,158
323,69
323,273
323,55
323,372
323,411
323,256
323,242
323,449
78,473
78,191
78,309
78,274
78,439
78,94
78,231
78,487
78,296
78,275
78,380
78,111
78,422
78,516
93,473
93,191
93,5
154,406
154,473
154,212
154,191
154,505
154,333
154,459
154,495
154,222
154,203
154,254
154,445
154,487
154,172
154,428
154,328
154,496
154,469
154,372
154,242
154,422
154,449
154,192
154,440
154,237
226,406
226,473
226,212
226,244
226,337
226,432
226,509
226,505
226,248
226,442
226,447
226,158
226,115
226,439
226,222
226,370
226,203
226,288
226,231
226,189
226,29
226,481
226,197
226,423
226,296
226,176
226,413
226,496
226,469
226,90
226,239
226,240
226,372
226,256
226,242
226,476
226,169
226,512
226,68
226,312
226,237
444,236
444,100
342,473
342,191
342,523
342,333
342,459
342,231
342,481
342,296
342,273
342,496
342,516
174,303
174,268
174,164
174,273
174,372
105,31
109,56
109,82
109,445
109,296
185,406
185,473
185,212
185,191
185,505
185,481
185,445
185,57
185,273
185,496
185,284
185,469
185,372
185,411
185,461
185,242
185,190
185,302
185,243
185,516
332,323
332,309
332,297
332,288
332,481
332,176
332,402
332,67
332,516
225,231
225,521
225,494
300,191
300,505
300,274
300,222
300,481
300,436
300,239
300,461
300,256
287,212
287,259
287,231
287,413
287,294
287,422
110,374
110,231
110,304
110,422
146,309
146,274
146,487
151,191
151,297
151,37
151,273
151,516
357,337
357,222
357,252
357,256
244,356
244,66
244,106
244,169
244,325
244,213
20,505
20,245
20,439
20,176
20,496
20,242
20,96
20,237
343,444
343,332
343,245
343,439
343,254
343,481
343,57
343,296
343,496
343,469
343,90
432,473
432,226
432,332
432,66
432,153
432,391
432,481
432,445
432,69
432,296
432,27
432,54
432,433
432,469
432,256
432,242
432,181
432,361
407,323
407,439
407,445
407,428
407,157
407,218
407,8
430,56
430,253
430,232
430,297
430,472
430,274
430,222
430,500
430,437
430,419
430,194
430,391
430,307
430,481
430,445
430,487
430,296
430,286
430,413
430,88
430,28
430,269
430,275
430,99
430,446
430,469
430,380
430,111
430,411
430,113
430,169
232,110
232,430
232,184
232,307
509,12
509,130
398,303
398,523
398,117
398,82
398,21
398,340
398,42
398,391
398,525
398,157
398,31
398,377
398,304
398,302
398,67
398,79
398,135
143,296
143,446
143,242
143,190
143,192
143,68
143,312
505,303
505,356
505,222
505,370
505,518
505,69
505,351
505,14
505,256
488,351
81,244
81,523
81,459
81,117
81,472
81,500
81,373
81,288
81,448
81,69
81,338
81,286
81,413
81,269
81,99
81,436
81,411
81,468
81,514
81,169
81,368
100,444
100,191
100,248
100,26
100,86
100,231
100,32
100,43
100,27
100,54
100,467
100,198
100,3
100,516
510,269
309,332
309,422
66,244
66,479
66,459
66,297
66,158
66,477
66,222
66,288
66,448
66,103
66,57
66,223
66,37
66,428
66,413
66,256
66,302
66,68
313,422
490,406
490,473
490,472
490,254
280,444
280,158
280,370
280,128
280,462
280,371
280,389
280,187
280,129
280,496
280,220
280,284
280,278
280,6
280,13
280,14
280,256
280,135
280,489
280,175
245,303
245,366
245,158
245,222
245,288
245,103
245,402
245,59
245,433
245,436
245,351
245,2
245,90
245,25
245,13
245,250
245,195
245,75
245,67
245,408
245,175
271,401
479,191
479,366
479,94
479,518
479,433
479,460
479,2
409,248
523,403
523,444
523,21
523,390
523,103
523,296
523,506
523,368
366,479
366,94
366,390
366,383
366,474
366,433
511,140
333,351
459,406
459,100
459,26
459,434
459,103
459,54
459,31
459,433
321,267
321,269
321,217
291,212
291,191
291,297
291,411
123,222
123,231
123,200
123,372
123,237
140,473
140,236
140,266
140,444
140,509
140,100
140,245
140,523
140,248
140,495
140,158
140,382
140,222
140,500
140,203
140,387
140,288
140,254
140,189
140,29
140,445
140,423
140,69
140,383
140,487
140,296
140,176
140,428
140,506
140,429
140,273
140,284
140,475
140,269
140,263
140,436
140,480
140,242
140,190
140,514
140,192
140,476
140,368
140,163
140,516
140,312
140,408
140,237
248,100
248,523
248,203
501,297
72,23
72,42
72,457
72,111
72,443
72,344
221,212
221,158
221,203
221,240
221,4
221,190
221,484
297,98
297,194
297,263
234,200
234,350
464,191
262,254
262,183
262,67
262,312
26,100
26,459
26,445
26,138
26,372
108,222
108,518
117,81
117,157
117,302
117,67
202,200
202,223
199,266
199,444
199,191
199,245
199,523
199,222
199,419
199,390
199,481
199,506
199,273
199,381
199,67
168,212
168,481
168,395
168,141
168,372
168,192
188,191
188,505
188,245
188,333
188,222
188,69
188,427
188,496
188,240
188,372
188,190
317,518
317,170
38,274
38,269
38,141
442,421
442,521
442,157
442,380
442,79
204,222
204,254
204,231
204,49
272,473
272,191
272,500
272,296
272,273
272,316
272,516
134,306
134,222
19,406
19,473
19,444
19,191
19,459
19,222
19,384
19,487
19,296
19,269
447,476
379,473
379,222
379,395
379,296
379,6
379,422
62,403
62,473
62,266
62,444
62,244
62,509
62,505
62,245
62,321
62,204
62,272
62,158
62,477
62,439
62,222
62,254
62,518
62,481
62,197
62,487
62,215
62,296
62,162
62,330
62,496
62,220
62,269
62,289
62,469
62,90
62,239
62,372
62,256
62,242
62,365
62,169
62,237
158,505
158,261
158,301
82,444
82,109
82,110
82,459
82,117
82,203
82,254
82,487
82,37
82,474
82,269
82,275
82,469
82,302
82,68
115,518
115,200
115,429
115,121
115,230
115,433
115,125
477,523
477,164
382,153
382,259
382,180
382,296
382,413
382,328
382,496
382,141
382,346
364,268
364,401
378,444
378,268
378,30
102,495
102,222
102,370
102,86
102,200
102,25
102,372
439,495
439,231
439,445
439,380
439,169
311,284
285,56
285,286
285,386
285,284
285,269
285,277
285,111
285,516
282,473
282,518
282,296
282,273
504,303
504,523
504,495
504,373
504,404
504,438
504,28
504,90
504,304
222,303
222,210
222,372
222,368
305,406
305,303
305,473
305,104
305,212
305,109
305,244
305,232
305,509
305,488
305,100
305,309
305,245
305,271
305,459
305,321
305,291
305,248
305,297
305,442
305,272
305,492
305,274
305,500
305,370
305,58
305,486
305,507
305,387
305,437
305,419
305,254
305,164
305,103
305,231
305,261
305,424
305,170
305,200
305,189
305,307
305,29
305,481
305,197
305,445
305,404
305,438
305,57
305,487
305,172
305,525
305,418
305,215
305,296
305,427
305,267
305,428
305,171
305,292
305,413
305,162
305,429
305,397
305,210
305,358
305,273
305,330
305,399
305,496
305,294
305,452
305,467
305,493
305,497
305,101
305,393
305,436
305,460
305,324
305,480
305,446
305,255
305,90
305,491
305,111
305,239
305,240
305,55
305,372
305,376
305,190
305,36
305,449
305,514
305,192
305,113
305,302
305,310
305,426
305,476
305,169
305,368
305,388
305,30
305,68
305,163
305,312
305,237
370,505
370,333
370,360
370,390
370,6
370,351
370,239
12,406
12,473
12,191
12,232
12,509
12,309
12,245
12,479
12,333
12,459
12,291
12,248
12,297
12,268
12,117
12,495
12,442
12,257
12,158
12,222
12,58
12,354
12,203
12,94
12,437
12,254
12,319
12,194
12,231
12,87
12,481
12,445
12,383
12,57
12,487
12,455
12,172
12,401
12,525
12,95
12,171
12,292
12,413
12,429
12,397
12,88
12,499
12,294
12,386
12,467
12,28
12,284
12,463
12,497
12,275
12,453
12,377
12,480
12,277
12,469
12,90
12,380
12,111
12,304
12,372
12,411
12,256
12,242
12,422
12,190
12,449
12,302
12,310
12,369
12,68
12,163
12,312
12,213
362,268
362,462
362,518
362,210
362,246
362,411
362,522
58,172
58,296
58,413
58,496
58,294
58,67
58,169
360,56
360,212
360,291
360,72
360,472
360,439
360,500
360,203
360,518
360,481
360,445
360,296
360,286
360,37
360,88
360,496
360,380
360,405
360,494
46,169
46,163
46,237
128,505
128,245
128,271
128,462
128,384
128,69
128,521
128,223
128,286
128,292
128,413
128,397
128,88
128,53
128,463
128,460
128,480
128,304
128,219
128,408
128,175
128,237
354,374
354,390
354,273
354,290
354,433
354,393
354,2
354,67
354,122
486,245
486,305
486,200
486,106
486,172
486,393
486,131
486,150
486,65
486,310
486,169
21,398
21,245
21,523
21,448
21,37
21,474
21,88
21,269
21,497
21,380
21,39
21,304
21,411
21,461
145,204
145,158
145,215
145,413
145,89
24,191
24,509
24,245
24,271
24,523
24,222
24,231
24,87
24,200
24,445
24,292
24,480
24,372
24,163
24,237
485,505
485,488
485,203
485,254
485,170
485,423
485,322
485,496
485,324
485,491
485,372
485,192
485,478
485,169
299,406
299,473
299,444
299,509
299,505
299,100
299,248
299,297
299,495
299,373
299,448
299,254
299,386
299,220
299,269
299,275
299,39
299,111
299,411
299,365
299,302
299,169
299,498
375,191
375,176
375,195
375,169
136,232
136,245
136,72
136,262
136,117
136,500
136,288
136,448
136,254
136,231
136,87
136,524
136,391
136,481
136,383
136,487
136,455
136,172
136,296
136,506
136,171
136,413
136,474
136,88
136,294
136,269
136,275
136,263
136,480
136,90
136,111
136,302
136,369
97,473
97,309
97,158
97,524
97,384
97,172
97,427
97,386
97,269
97,453
97,480
97,522
97,68
97,494
203,212
203,248
203,221
203,413
153,191
153,505
153,309
153,245
153,333
153,495
153,158
153,439
153,222
153,370
153,462
153,170
