dataset,DouBanDatasets_RedundancyCut/Douban_202t_526w_12r
ALPHA,0.1
G_Size,5
Iteration Count,35
task_id,prediction_label
0,4.700118403203112
197,4.505780724014069
135,3.8125723885080665
14,4.500051180241972
1,4.7004136080569205
158,4.701979610535182
156,3.9996699527412383
109,4.501869272819606
131,4.701118716594382
127,4.500007648259239
11,4.700676387624092
67,4.5000001069232916
56,4.700773966710844
44,4.527962984743608
100,4.195622546490309
73,4.500716415143468
63,4.500182003869186
200,4.195309758938536
2,4.704414651025759
148,4.498487352071406
10,4.199635931719152
12,3.9910985314725878
68,4.1923018127640885
66,4.163368908484172
46,4.500000234830145
105,4.700367928420187
28,4.499999980488597
201,4.198867384906765
96,4.80017365144917
39,4.798550435072065
6,4.799929487120281
87,4.797192710757766
95,3.8162288918614626
142,4.499999950928682
140,4.19491063778363
134,4.5002305442178905
126,4.8990962322444345
123,4.703416095422457
74,4.7006137972578275
69,4.173880636378938
24,4.500570044949863
26,4.1999818905471535
83,3.800029798004247
3,4.5000000200192485
168,4.500073956579904
157,3.810596174981764
132,4.5010808468373
71,4.503457315095113
70,4.195473008041401
65,4.7998648529551575
43,4.800019028410294
42,4.500621204098894
41,4.800080545780397
145,4.51340054871504
184,4.804124958496514
178,4.1979172047549005
177,4.000000007396247
8,4.702505030054757
9,4.0000000166737175
89,4.000154629025882
90,4.500202224991865
159,4.1982986500100905
155,4.704706565071276
153,4.500154544749891
150,3.9372422099176103
102,4.500000130459004
141,4.799490553816373
118,3.5
120,4.1928185228341395
21,4.70028949840561
54,4.8999999999999995
25,4.701544070308375
48,4.700008492462907
72,4.700097566541132
171,4.199990717980937
58,4.009590011527211
29,4.193360796065065
37,4.70506940358297
35,4.70600057740829
187,4.500106375437427
172,4.199999726383501
169,4.7012808130604045
161,4.704764584075772
94,4.722725835020464
81,4.502196654434574
47,4.199967917124225
30,4.199335761465893
115,4.1990968205023345
27,4.70033016158138
149,4.199968059224398
192,4.709660936367761
174,4.800113324080708
165,4.500000003910538
114,4.1964280873917685
22,4.899999999995055
5,4.499999974904267
176,4.500000127324394
85,3.9999623912108264
45,4.50014533172945
133,4.501761295560745
16,4.5001770290950605
193,4.196895962437452
183,4.1000000000027335
180,4.195975399872139
7,4.8102080395301074
173,4.514398102121312
170,4.5000087882396524
88,4.499999955323512
91,4.696041933595856
163,4.9
93,4.7040875319114965
97,4.705308093483163
98,4.198246755143303
152,4.1999763863494
104,4.500000394157547
138,4.500000876547994
129,4.199817090157418
113,4.705481145183974
124,4.0
119,4.500438809116697
80,3.9000002860071143
79,4.700462014187929
13,4.8008002922051
76,4.199984928015433
15,4.799525071835457
18,4.7008342393500495
19,4.199933457856006
61,4.701742751371888
60,4.700843082777802
55,4.0
53,4.505590150705765
52,4.8002016756987596
49,4.702521043593875
40,4.0
33,4.100000756728529
34,4.700974499321645
188,4.199856420958521
185,4.199746781436456
181,3.9999974417727135
179,4.199746788212716
147,4.7010136138841085
103,4.502284529880818
144,4.7026823839494325
143,4.19763095453964
62,4.713223930532615
59,4.7000485973191735
57,4.500014242825029
23,4.500137476401734
31,4.499999995020999
38,4.700021045814529
32,4.199949857995325
191,4.500000138639916
92,4.8015973802573955
4,4.700011031980629
139,4.199904370038874
151,4.700131945944853
107,4.50000000843383
51,4.806134823721527
195,4.0
196,3.1000000612537857
189,3.800750903377811
175,4.50000211610175
154,4.198526621616038
137,4.199560307064472
108,3.808998611739495
128,4.7019488448512705
112,4.499999995031214
125,4.008389635255473
116,4.199993781187983
117,4.199807963168659
84,4.554201731109977
64,4.199590048138991
122,4.500000775836799
167,3.8077328799389973
164,4.800000100796151
111,4.199998512391924
78,4.500000000220042
50,4.700021768728554
99,4.49999999618489
162,3.992622486981364
136,4.500010891511191
166,4.499999991236753
198,4.099999999981441
186,4.702173747246616
182,4.500000005545665
160,4.199612346698122
101,4.49999995463687
82,3.999986201071542
20,4.1993596118807215
36,4.0
199,4.500000022224683
146,4.700160512087244
121,4.500054394135637
106,4.199942889814482
17,4.800042497796612
190,4.0
86,4.199838222253396
130,3.800041198544522
110,4.199844275257598
77,3.9000007666167464
75,4.80042198769214
194,4.0
