worker_id,task_id,label,truth
0,0,5,4.1
0,10,5,4.5
0,11,4,2.9
0,24,4,4.0
0,31,4,3.8
0,47,3,3.5
0,70,4,4.2
0,102,3,4.4
0,109,4,4.8
0,123,4,3.2
0,156,3,3.0
1,0,5,4.1
1,2,5,4.1
1,3,5,3.8
1,4,5,3.2
1,16,4,3.9
1,21,4,2.2
1,37,4,3.3
2,0,5,4.1
2,1,5,4.2
2,2,5,4.1
2,3,5,3.8
2,4,4,3.2
2,6,5,4.8
2,11,5,2.9
2,21,4,2.2
2,24,5,4.0
2,28,5,4.8
2,38,4,4.2
2,43,5,3.9
2,51,4,4.0
2,74,5,3.5
2,79,4,3.2
2,92,4,3.9
2,115,5,4.1
2,141,4,4.3
2,151,4,5.0
2,157,4,4.0
2,169,4,4.8
2,193,5,4.7
3,0,4,4.1
3,3,5,3.8
3,5,3,3.0
3,6,4,4.8
3,7,4,4.8
3,8,4,3.7
3,11,4,2.9
3,12,3,3.4
3,14,4,4.8
3,15,5,3.8
3,16,4,3.9
3,19,3,3.2
3,21,3,2.2
3,22,4,4.3
3,29,2,4.4
3,35,3,4.0
3,38,5,4.2
3,39,4,3.9
3,49,4,4.4
3,55,4,2.8
3,63,3,4.2
3,67,4,4.4
3,88,3,3.7
3,97,4,3.5
3,98,4,2.2
3,99,4,3.7
3,103,3,4.0
3,115,4,4.1
3,116,4,3.6
3,117,2,3.6
3,119,4,2.9
3,133,4,4.0
3,137,3,2.8
3,141,5,4.3
3,150,5,4.2
3,157,4,4.0
3,169,4,4.8
3,171,4,4.7
3,187,3,4.7
4,0,5,4.1
4,2,5,4.1
4,3,5,3.8
4,8,5,3.7
4,15,4,3.8
4,19,4,3.2
4,22,5,4.3
4,80,5,3.2
4,112,5,4.0
5,0,4,4.1
5,2,4,4.1
5,4,5,3.2
5,13,5,2.8
5,29,5,4.4
5,33,5,4.1
5,44,5,4.0
5,58,4,2.7
5,61,5,4.2
5,79,4,3.2
5,121,4,2.9
6,0,5,4.1
6,41,4,3.0
6,53,5,3.6
6,72,5,3.5
6,91,5,3.4
6,109,4,4.8
6,124,5,3.5
6,168,4,4.2
7,0,5,4.1
7,1,5,4.2
7,3,5,3.8
7,4,4,3.2
7,5,5,3.0
7,16,4,3.9
7,21,5,2.2
7,83,4,3.1
7,88,4,3.7
7,99,4,3.7
7,157,4,4.0
8,0,5,4.1
8,1,5,4.2
8,2,5,4.1
8,4,5,3.2
8,12,5,3.4
8,21,5,2.2
8,26,5,3.2
8,36,5,3.8
8,42,3,4.0
8,43,5,3.9
8,71,4,3.8
8,88,5,3.7
8,94,3,3.9
8,117,4,3.6
8,121,4,2.9
8,128,5,4.7
8,164,4,5.0
8,169,4,4.8
8,187,5,4.7
8,189,4,4.0
8,193,4,4.7
9,0,5,4.1
9,3,5,3.8
9,4,4,3.2
9,7,5,4.8
9,8,5,3.7
9,10,4,4.5
9,11,5,2.9
9,14,5,4.8
9,15,5,3.8
9,17,5,3.8
9,19,4,3.2
9,20,4,2.9
9,21,5,2.2
9,22,4,4.3
9,28,5,4.8
9,33,4,4.1
9,35,5,4.0
9,36,5,3.8
9,37,4,3.3
9,39,5,3.9
9,41,5,3.0
9,42,3,4.0
9,43,5,3.9
9,45,4,4.6
9,49,4,4.4
9,50,4,2.8
9,51,4,4.0
9,52,3,3.3
9,53,5,3.6
9,54,4,3.5
9,58,4,2.7
9,63,4,4.2
9,65,4,4.3
9,67,4,4.4
9,71,5,3.8
9,76,4,3.9
9,96,4,3.8
9,97,5,3.5
9,99,4,3.7
9,100,4,4.5
9,105,4,3.8
9,116,4,3.6
9,125,4,3.5
9,126,4,4.9
9,133,4,4.0
9,147,4,4.5
9,150,4,4.2
9,169,5,4.8
9,179,4,4.3
9,185,4,3.6
9,187,4,4.7
9,191,4,2.2
9,197,4,2.9
10,0,4,4.1
10,3,4,3.8
10,4,4,3.2
10,6,4,4.8
10,8,4,3.7
10,10,4,4.5
10,12,4,3.4
10,13,4,2.8
10,15,4,3.8
10,16,4,3.9
10,17,4,3.8
10,20,4,2.9
10,21,4,2.2
10,23,4,3.8
10,35,4,4.0
10,36,4,3.8
10,37,4,3.3
10,39,4,3.9
10,43,4,3.9
10,46,4,3.6
10,50,4,2.8
10,57,4,3.3
10,61,4,4.2
10,63,4,4.2
10,65,4,4.3
10,78,4,2.6
10,85,4,4.7
10,87,4,4.7
10,88,4,3.7
10,89,4,4.3
10,90,4,3.4
10,92,4,3.9
10,97,4,3.5
10,99,4,3.7
10,101,4,3.5
10,105,4,3.8
10,106,4,2.8
10,107,4,2.8
10,112,4,4.0
10,115,4,4.1
10,116,4,3.6
10,117,5,3.6
10,119,4,2.9
10,125,4,3.5
10,138,4,4.0
10,141,4,4.3
10,147,4,4.5
10,150,4,4.2
10,157,4,4.0
10,163,4,3.2
10,166,4,2.6
10,171,4,4.7
10,177,4,3.5
10,180,4,4.3
10,181,4,3.2
10,186,4,3.1
10,195,4,3.4
10,197,4,2.9
11,0,5,4.1
11,4,5,3.2
11,16,5,3.9
11,29,5,4.4
11,35,5,4.0
11,99,5,3.7
11,133,5,4.0
11,160,4,4.2
11,166,4,2.6
12,0,4,4.1
12,6,4,4.8
12,7,5,4.8
12,8,5,3.7
12,10,5,4.5
12,21,5,2.2
12,25,4,4.2
12,26,4,3.2
12,28,4,4.8
12,33,5,4.1
12,50,4,2.8
12,72,5,3.5
12,76,4,3.9
12,89,4,4.3
12,92,5,3.9
12,102,4,4.4
12,105,4,3.8
12,111,4,3.5
12,124,4,3.5
12,141,5,4.3
13,0,4,4.1
13,4,4,3.2
13,16,4,3.9
13,29,4,4.4
13,35,4,4.0
13,51,4,4.0
13,74,4,3.5
13,81,4,4.1
13,91,4,3.4
13,135,4,3.0
14,0,4,4.1
14,2,4,4.1
14,4,4,3.2
14,5,5,3.0
14,6,4,4.8
14,8,5,3.7
14,11,4,2.9
14,16,4,3.9
14,19,4,3.2
14,22,4,4.3
14,24,4,4.0
14,43,4,3.9
14,49,5,4.4
14,51,4,4.0
14,66,4,3.1
14,114,4,4.6
15,0,4,4.1
15,1,4,4.2
15,4,4,3.2
15,16,4,3.9
15,66,5,3.1
15,80,5,3.2
15,84,5,3.9
16,0,5,4.1
16,2,4,4.1
16,3,4,3.8
16,4,5,3.2
16,6,5,4.8
16,8,5,3.7
16,16,5,3.9
16,23,4,3.8
16,62,4,3.9
16,76,4,3.9
16,100,4,4.5
16,105,4,3.8
16,106,4,2.8
16,137,5,2.8
16,140,4,3.9
16,149,4,3.6
16,160,4,4.2
16,162,4,3.9
16,164,4,5.0
16,169,4,4.8
16,180,4,4.3
16,186,4,3.1
16,187,4,4.7
17,0,5,4.1
17,3,5,3.8
17,7,5,4.8
17,8,5,3.7
17,11,5,2.9
17,12,5,3.4
17,21,5,2.2
17,25,5,4.2
17,41,5,3.0
17,49,5,4.4
17,52,5,3.3
17,59,5,3.1
