dataset,DouBanDatasets_SWTest/Douban_4362w
ALPHA,0.1
G_Size,5
Iteration Count,18
task_id,prediction_label
0,4.699999999734683
10,4.5
11,4.5
24,4.499999999999475
31,4.40000000000002
47,4.3
70,4.400098687022973
102,4.499994983642901
109,4.299999999999999
123,4.200000000000653
156,4.200003945301612
2,4.6
3,4.6
4,4.6
16,4.5
21,4.499999999999998
37,4.300000006255341
1,4.6
6,4.6
28,4.499999999988161
38,4.499985630032977
43,4.400000027699846
51,4.499999997159429
74,4.399999999972533
79,4.200000007695841
92,4.399999999162021
115,4.200971537589448
141,4.399828384230051
151,4.400804527704681
157,4.2000938568464345
169,4.300000000000485
193,4.300000000605775
5,4.6
7,4.6
8,4.5
12,4.5
14,4.599999999580117
15,4.500000000000059
19,4.400000021882683
22,4.5
29,4.3999999999999995
35,4.400000000061052
39,4.400000530370987
49,4.400000053597936
55,4.3999998287248685
63,4.4
67,4.300009314392857
88,4.299999999999984
97,4.399999999999983
98,4.300000000002418
99,4.300000097523117
103,4.200000028749807
116,4.20000009338237
117,4.199999999999957
119,4.30000000000105
133,4.3
137,4.299999451404532
150,4.299999999999743
171,4.100000546405971
187,4.100000001199202
80,4.200004569474873
112,4.3000102015571375
13,4.5
33,4.399999999930229
44,4.4999999999947
58,4.3999999999999995
61,4.399999999999725
121,4.200271004625069
41,4.499999859423728
53,4.400000000000023
72,4.400000000000164
91,4.39999999999999
124,4.200005073746988
168,4.39999999219024
83,4.200520864054505
26,4.401496340380861
36,4.300046614229249
42,4.400000000000235
71,4.499999751246485
94,4.299999999999564
128,4.400000267384707
164,4.399908653534343
189,4.199999988261423
17,4.599999995189637
20,4.499999999999882
45,4.399999871740375
50,4.499873923696397
52,4.499999999999838
54,4.299999999999978
65,4.300000195538951
76,4.3999704436479465
96,4.300026819230221
100,4.300046334026483
105,4.399999981883805
125,4.299999999999982
126,4.499985373672209
147,4.300000077429634
179,4.300000054306874
185,4.299829272261118
191,4.300000002312334
197,4.299999999999494
23,4.5
46,4.4000050567302
57,4.499999806274196
78,4.39999957696334
85,4.299999999453079
87,4.499999113541196
89,4.300001250722911
90,4.300038388780328
101,4.400000278744639
106,4.2000001137902645
107,4.299999850832506
138,4.300787982480614
163,4.30010486382318
166,4.200006060211706
177,4.299997522344451
180,4.200217536039483
181,4.30000076780974
186,4.306676491158387
195,4.199983096268916
160,4.299999433180616
25,4.4000000138634
111,4.399639432267562
81,4.300000001767835
135,4.30000000168229
66,4.300000000000159
114,4.499998273063125
84,4.400000000297547
62,4.499999718890468
140,4.500000000436229
149,4.200092156557916
162,4.30016476392464
59,4.49999760280073
69,4.299999999999792
110,4.399897171870872
142,4.299999992549713
144,4.399999885067639
146,4.2999957360947345
167,4.100001788193725
184,4.300209039756728
190,4.199655461861169
9,4.5
18,4.500000000001206
68,4.3000000017105835
73,4.30000002281858
154,4.200000000038155
27,4.400693614651658
32,4.599796227949525
75,4.400026747213838
170,4.299999656364662
30,4.399999999999998
48,4.499962308533335
60,4.400002244886892
136,4.300008720882907
152,4.3000762638519765
182,4.202640920923674
40,4.499932135829298
161,4.300000023471868
176,4.299999988143916
77,4.304520033673727
118,4.105135199658231
93,4.30000720512542
122,4.299999864381423
127,4.400000000013355
188,4.301893806563081
200,4.200000033967818
95,4.200039081039275
196,3.8
82,4.399993950921773
113,4.400000219633183
165,4.404268278011744
192,4.300002860250598
120,4.20000000069496
131,4.400145699619297
132,4.300000000002431
134,4.200957278885906
143,4.300064455459024
158,4.499960789440797
159,4.200000030343567
173,4.399999994315268
56,4.499999998205958
34,4.500000000309968
153,4.299999818426076
199,4.496804724252635
64,4.20070648789699
86,4.203359973566664
139,4.300019041253028
145,4.299904810839486
155,4.399999213124165
174,4.497964981863595
178,4.300026391781286
194,4.200029441551171
198,4.200448291435109
108,4.300000041760873
201,4.299999456563112
175,4.300035853906485
104,4.3999999875231
130,4.200709006320172
129,4.400098394231689
148,4.299999999999998
183,4.306312712201632
172,4.200000001349878
