# 节点数  边数   ,0  24553
2161,3688
2161,965
2161,4104
808,4609
808,925
808,2861
808,1018
808,2790
808,2236
808,4135
808,1338
808,4163
808,4596
808,2036
808,4256
808,48
3231,1014
3231,1262
3231,2981
3231,1761
3231,2790
3231,3926
3231,66
3231,1344
3231,3211
3231,4695
4419,1126
4419,2267
4419,136
4419,2836
4419,4040
4419,2860
4419,1462
4419,4720
3000,2790
3297,2161
1442,289
1442,547
1442,3173
1442,2036
3352,3794
3949,2161
3949,4650
3949,3490
3949,1955
3949,1255
3949,1098
3949,1742
3949,1014
3949,182
3949,1913
3949,918
3949,3050
3949,527
3949,4190
3949,3568
3949,1028
3949,4115
3949,1570
3949,3195
3949,3677
3949,4265
3949,1938
3949,1262
3949,1802
3949,3
3949,4155
3949,562
3949,1389
3949,2225
3949,608
3949,3428
3949,1642
3949,2515
3949,4085
3949,3850
3949,3167
3949,3436
3949,91
3949,2118
3949,584
3949,3134
3949,2255
3949,2507
3949,4555
3949,1940
3949,2075
3949,515
3949,3723
3949,1780
3949,834
3949,2113
3949,3813
3949,1490
3949,4354
3949,4011
3949,4278
3949,1346
3949,3063
3949,3574
3949,663
3949,3604
3949,2876
3949,1471
3949,1430
3949,2753
3949,3007
3949,1278
3949,3781
3949,3916
3949,591
3949,3042
3949,2824
3949,4593
3949,4546
3949,2379
3949,1127
3949,4073
3949,3038
3949,3788
3949,3849
3949,1323
3949,98
3949,3383
3949,2012
3949,1888
3949,2689
3949,1393
3949,3072
3949,2896
3949,1627
3949,1456
3949,2953
3949,1686
3949,3162
3949,3492
3949,2194
3949,4173
3949,63
3949,3753
3949,3634
3949,2024
3949,2192
3949,3214
3949,564
3949,1051
3949,4641
3949,1397
3949,2545
3949,4405
3949,3734
3949,2619
3949,2188
3949,4453
3949,3551
3949,2959
3949,2291
3949,2492
3949,601
3949,1348
3949,1010
3949,960
3949,2574
3949,3222
3949,3270
3949,1990
3949,3397
3949,3696
3949,2598
3949,4702
3949,1082
3949,2795
3949,2224
3949,4682
3949,1218
3949,2070
3949,4507
3949,4084
3949,2573
3949,110
3949,3089
3949,4688
3949,3593
3949,4203
3949,1895
3949,3446
3949,4633
3949,3643
3949,2447
3949,2615
3949,1873
3949,1983
3949,4584
3949,2853
3949,1435
3949,2617
3949,2256
3949,2799
3949,3443
3949,3209
3949,4681
3949,2249
3949,2552
3949,3351
3949,3417
3949,500
3949,1907
3949,3182
3949,44
3949,3034
3949,1973
3949,3925
962,4692
962,1854
962,107
4618,4142
4618,2225
4618,1642
4618,4434
4618,3767
4618,2276
4618,2452
4618,2012
4618,4252
4618,3496
4618,2782
