worker_id,task_id,label
0,0,5
0,10,5
0,11,4
0,24,4
0,31,4
0,47,3
0,70,4
0,102,3
0,109,4
0,123,4
0,156,3
1,0,5
1,10,5
1,39,5
1,96,5
1,135,3
1,201,4
2,0,5
2,2,5
2,3,5
2,4,5
2,16,4
2,21,4
2,37,4
3,0,5
3,1,5
3,2,5
3,3,5
3,4,4
3,6,5
3,11,5
3,21,4
3,24,5
3,28,5
3,38,4
3,43,5
3,51,4
3,74,5
3,79,4
3,92,4
3,115,5
3,141,4
3,151,4
3,157,4
3,169,4
3,193,5
4,0,4
4,3,5
4,5,3
4,6,4
4,7,4
4,8,4
4,11,4
4,12,3
4,14,4
4,15,5
4,16,4
4,19,3
4,21,3
4,22,4
4,29,2
4,35,3
4,38,5
4,39,4
4,49,4
4,55,4
4,63,3
4,67,4
4,88,3
4,97,4
4,98,4
4,99,4
4,103,3
4,115,4
4,116,4
4,117,2
4,119,4
4,133,4
4,137,3
4,141,5
4,150,5
4,157,4
4,169,4
4,171,4
4,187,3
5,0,5
5,2,5
5,3,5
5,8,5
5,15,4
5,19,4
5,22,5
5,80,5
5,112,5
6,0,4
6,2,4
6,4,5
6,13,5
6,29,5
6,33,5
6,44,5
6,58,4
6,61,5
6,79,4
6,121,4
7,0,5
7,41,4
7,53,5
7,72,5
7,91,5
7,109,4
7,124,5
7,168,4
8,0,5
8,1,5
8,3,5
8,4,4
8,5,5
8,16,4
8,21,5
8,83,4
8,88,4
8,99,4
8,157,4
9,0,5
9,1,5
9,2,5
9,4,5
9,12,5
9,21,5
9,26,5
9,36,5
9,42,3
9,43,5
9,71,4
9,88,5
9,94,3
9,117,4
9,121,4
9,128,5
9,164,4
9,169,4
9,187,5
9,189,4
9,193,4
10,0,5
10,3,5
10,4,4
10,7,5
10,8,5
10,10,4
10,11,5
10,14,5
10,15,5
10,17,5
10,19,4
10,20,4
10,21,5
10,22,4
10,28,5
10,33,4
10,35,5
10,36,5
10,37,4
10,39,5
10,41,5
10,42,3
10,43,5
10,45,4
10,49,4
10,50,4
10,51,4
10,52,3
10,53,5
10,54,4
10,58,4
10,63,4
10,65,4
10,67,4
10,71,5
10,76,4
10,96,4
10,97,5
10,99,4
10,100,4
10,105,4
10,116,4
10,125,4
10,126,4
10,133,4
10,147,4
10,150,4
10,169,5
10,179,4
10,185,4
10,187,4
10,191,4
10,197,4
11,0,4
11,3,4
11,4,4
11,6,4
11,8,4
11,10,4
11,12,4
11,13,4
11,15,4
11,16,4
11,17,4
11,20,4
11,21,4
11,23,4
11,35,4
11,36,4
11,37,4
11,39,4
11,43,4
11,46,4
11,50,4
11,57,4
11,61,4
11,63,4
11,65,4
11,78,4
11,85,4
11,87,4
11,88,4
11,89,4
11,90,4
11,92,4
11,97,4
11,99,4
11,101,4
11,105,4
11,106,4
11,107,4
11,112,4
11,115,4
11,116,4
11,117,5
11,119,4
11,125,4
11,138,4
11,141,4
11,147,4
11,150,4
11,157,4
11,163,4
11,166,4
11,171,4
11,177,4
11,180,4
11,181,4
11,186,4
11,195,4
11,197,4
12,0,5
12,4,5
12,16,5
12,29,5
12,35,5
12,99,5
12,133,5
12,160,4
12,166,4
13,0,4
13,6,4
13,7,5
13,8,5
13,10,5
13,21,5
13,25,4
13,26,4
13,28,4
13,33,5
13,50,4
13,72,5
13,76,4
13,89,4
13,92,5
13,102,4
13,105,4
13,111,4
13,124,4
13,141,5
14,0,4
14,4,4
14,16,4
14,29,4
14,35,4
14,51,4
14,74,4
14,81,4
