# 节点数  边数   ,0  24553
2322,3967
2322,1035
2322,3579
2322,4421
872,4961
872,994
872,1951
872,3073
872,1091
872,2997
872,2400
872,4454
872,1434
872,4487
872,4948
872,2183
872,4586
872,51
3473,1086
3473,1350
3473,3200
3473,1883
3473,2997
3473,4227
3473,71
3473,1440
3473,3452
3473,5055
3473,3305
4761,1206
4761,2432
4761,148
4761,3047
4761,4352
4761,3579
4761,3072
4761,1567
4761,5084
3222,2997
3546,2322
4359,3890
1545,307
1545,592
1545,3412
1545,4762
1545,2183
3604,4080
2803,2028
4252,2322
4252,5006
4252,3752
4252,2097
4252,1343
4252,1175
4252,1864
4252,1086
4252,198
4252,4357
4252,2049
4252,986
4252,3275
4252,569
4252,4515
4252,3837
4252,1101
4252,4432
4252,586
4252,1681
4252,3436
4252,3956
4252,4596
4252,2077
4252,1350
4252,1927
4252,3
4252,124
4252,4477
4252,608
4252,1487
4252,2389
4252,657
4252,3688
4252,1757
4252,2698
4252,4401
4252,3189
4252,4144
4252,3404
4252,3696
4252,97
4252,5048
4252,2276
4252,633
4252,3365
4252,2420
4252,451
4252,2690
4252,4907
4252,256
4252,2079
4252,551
4252,2229
4252,556
4252,4004
4252,1905
4252,899
4252,2271
4252,4102
4252,4212
4252,1598
4252,4694
4252,4319
4252,4609
4252,5074
4252,1442
4252,3289
4252,3844
4252,717
4252,3877
4252,3088
4252,1577
4252,1531
4252,2957
4252,3229
4252,1367
4252,4066
4252,4014
4252,1090
4252,79
4252,4217
4252,2285
4252,640
4252,3267
4252,3035
4252,4945
4252,4898
4252,2551
4252,3782
4252,1207
4252,4388
4252,3262
4252,4074
4252,4143
4252,1417
4252,104
4252,3638
4252,2158
4252,2021
4252,2889
4252,1491
4252,3298
4252,3109
4252,1742
4252,1559
4252,3171
4252,1803
4252,3399
4252,3754
4252,2356
4252,4497
4252,68
4252,4035
4252,3909
4252,2170
4252,2354
4252,3455
4252,611
4252,1125
4252,4997
4252,1496
4252,2728
4252,4747
4252,4016
4252,2814
4252,2350
4252,4798
4252,3818
4252,3177
4252,2456
4252,2675
4252,650
4252,1444
4252,1082
4252,1030
4252,2762
4252,3463
4252,3516
4252,2134
4252,3655
4252,3975
4252,2789
4252,5063
4252,1157
4252,3002
4252,2387
4252,5040
4252,1303
4252,2224
4252,4856
4252,4400
4252,2761
4252,116
4252,3316
4252,5047
4252,3864
4252,4528
4252,2028
4252,3706
4252,4988
4252,3919
4252,2625
4252,2810
4252,2006
4252,2126
4252,4936
4252,3064
4252,1537
4252,2812
4252,2421
4252,3006
4252,4481
4252,3703
4252,3450
4252,5039
4252,2414
4252,5036
4252,2735
4252,3603
4252,3677
4252,2979
4252,539
4252,2041
4252,3423
4252,47
4252,3258
4252,2116
4252,4226
1032,5052
1032,1986
1032,113
4972,2803
4972,4462
4972,2389
4972,1757
4972,4777
4972,4051
4972,2441
4972,2631
4972,2158
4972,4582
4972,3758
4972,2989
4972,3788
4972,4494
4972,2789
4972,4080
4972,4630
4972,2409
4972,2780
4972,734
4972,5008
4972,3305
2210,611
2216,851
3752,3890
3819,3244
3819,4697
2613,3440
2613,914
2613,825
90,1735
90,4313
90,1995
1753,1431
4296,2803
4296,3379
4296,1765
4296,3437
4296,2350
4296,3279
4296,162
4296,4844
4452,51
5056,1530
50,66
3834,1723
3834,3876
3066,2017
3066,1838
3066,3200
3066,3529
3066,2420
3066,1428
3066,4014
3066,4557
3066,4438
3066,1742
3066,4156
3066,3870
3066,2990
3066,2940
3066,1743
3066,3050
3066,1290
3066,312
3066,4188
3066,118
3066,3547
3790,160
1386,3631
1386,3253
1386,1944
1386,5041
1386,2997
1386,3975
1386,2776
1386,2183
1016,2183
4457,2919
4457,1722
4457,2993
4457,2158
4457,3971
4457,4883
4457,4948
4457,3606
4457,2470
4882,4935
2719,2754
2719,1093
2719,2164
2719,4126
2719,3621
4462,4972
4462,4140
4462,3922
4462,3033
3860,2645
3915,1101
3915,3200
3915,3445
3915,2508
3915,4534
3915,3314
3915,180
3915,1238
3915,2877
3915,1879
3915,1601
3915,3535
3915,2256
3915,2624
3915,411
3915,5053
3915,2892
3915,1492
3915,2111
3915,4300
3915,4678
1817,1556
1817,3829
1817,3835
1817,890
2406,866
1086,3985
1086,2756
1086,3856
1086,2455
1086,3411
1086,2749
1086,866
1086,3897
58,4972
58,3066
58,3238
58,2544
58,4923
58,3295
58,3088
58,2449
58,4438
58,3868
58,4743
58,4740
58,1444
58,1030
58,592
58,1434
58,4856
58,4718
58,4263
160,2932
160,72
2941,88
4608,2709
4608,4670
4608,4159
4608,3920
4608,5052
4608,3056
