dataset,DouBanDatasets_SWTest/Douban_6543w
ALPHA,0.1
G_Size,5
Iteration Count,21
task_id,prediction_label
0,4.7
10,4.59999849304375
11,4.6
24,4.5
31,4.5
47,4.4
70,4.499999999968241
102,4.500000000000602
109,4.3
123,4.3
156,4.3
39,4.499999999999997
96,4.4000000000080695
135,4.4
201,4.3000001197142685
2,4.6
3,4.6
4,4.6
16,4.5
21,4.5
37,4.4
1,4.6
29,4.3999999999999995
35,4.5
57,4.500000000000124
6,4.6
28,4.5
38,4.499999999428782
43,4.499999999999999
51,4.5
74,4.400000000000013
79,4.3
92,4.4
115,4.3
141,4.399994771580408
151,4.402020812167965
157,4.200000646549677
169,4.3
193,4.299999999999807
5,4.6
7,4.6
8,4.5
12,4.5
14,4.6
15,4.500000000027734
19,4.5
22,4.5
49,4.4000316305465015
55,4.39999999999989
63,4.4
67,4.3999999999999995
88,4.3000000000023135
97,4.4
98,4.399999999661611
99,4.300003222123376
103,4.3
116,4.200000035483873
117,4.2
119,4.4
133,4.3
137,4.300000007390097
150,4.200000000079127
171,4.100095891444037
187,4.2
80,4.299999999998641
112,4.399812135943259
13,4.49999999999996
33,4.400000000005481
44,4.5
58,4.4
61,4.400000000024084
121,4.299999878453828
41,4.5
53,4.400000000002649
72,4.49999999999985
91,4.4
124,4.299999999999701
168,4.3999999999999995
83,4.299999216303108
26,4.499999999943355
36,4.400000000068129
42,4.5
71,4.499999999999712
94,4.3999999999999755
128,4.499999999954019
164,4.4998624172863275
189,4.200000000003825
17,4.5999999999999375
20,4.5
45,4.400000237274902
50,4.499999999999966
52,4.5
54,4.4
65,4.39999999999997
76,4.400000172316702
100,4.3999999999999995
105,4.400000000002313
125,4.29999999999989
126,4.500000007223972
147,4.30000283415049
179,4.399999091810059
185,4.300007107854141
191,4.30000003981315
197,4.299999999999999
23,4.59999999214126
46,4.499999999999939
78,4.399999999999593
85,4.300000000008465
87,4.5
89,4.3999999999998565
90,4.400000000034096
101,4.400004217822653
106,4.299999999999869
107,4.299999999999877
138,4.399999171915051
163,4.399999876863034
166,4.3
177,4.299999999247382
180,4.299999999999601
181,4.300000007404833
186,4.300020773995574
195,4.200479593903693
139,4.399853252730493
140,4.499999999999966
174,4.500006575599149
160,4.30000000044645
25,4.5
111,4.399999999994004
81,4.399999999996158
66,4.300000000132579
114,4.500000000060605
84,4.499999999999923
9,4.5
18,4.599999999392432
108,4.300000062039959
144,4.399999999999638
145,4.300000000000914
149,4.202113147745674
152,4.3001334562945726
154,4.299999999999981
162,4.399999998378789
167,4.19999999999998
192,4.3999919731891275
62,4.5
59,4.500000000315104
69,4.399999999999977
110,4.400009230364203
142,4.300000000000175
146,4.299999999633348
184,4.399999999999707
190,4.2018782736518006
68,4.399999999999963
73,4.30000000730277
27,4.500000000001996
32,4.599999999999999
75,4.400071648248179
170,4.300000000598678
176,4.3
30,4.5
48,4.499999999940837
60,4.4999996457270734
136,4.300725058821368
182,4.300000024071173
40,4.49999999218668
161,4.300000040785598
77,4.302394440674048
118,4.200040626751599
93,4.399999780444082
122,4.300343239929939
127,4.49999999999917
188,4.400000001675519
200,4.2999999999997085
56,4.5
131,4.499997160322035
158,4.49999999996
95,4.299999999998979
196,3.9
82,4.40000017069677
113,4.499999741553179
165,4.417375271914148
120,4.2001488948507975
132,4.4
134,4.300000004666391
143,4.300162495097479
159,4.299999999999981
173,4.400000000002978
34,4.599999832688391
153,4.300000000000496
199,4.499968093787279
155,4.400000098118645
64,4.30000016520316
86,4.2999979545219515
178,4.300016535793977
194,4.299999892675637
198,4.20688679416854
175,4.39999891763661
172,4.200000000513329
104,4.400000135330056
129,4.400001262452632
183,4.300041346701319
148,4.3
130,4.300002748570593
