worker_id,task_id,label
0,0,5
0,10,5
0,11,4
0,24,4
0,31,4
0,47,3
0,70,4
0,102,3
0,109,4
0,123,4
0,156,3
1,0,5
1,10,5
1,39,5
1,96,5
1,135,3
1,201,4
2,0,5
2,2,5
2,3,5
2,4,5
2,16,4
2,21,4
2,37,4
3,0,5
3,1,4
3,4,4
3,24,5
3,29,4
3,35,4
3,57,4
4,0,5
4,1,5
4,2,5
4,3,5
4,4,4
4,6,5
4,11,5
4,21,4
4,24,5
4,28,5
4,38,4
4,43,5
4,51,4
4,74,5
4,79,4
4,92,4
4,115,5
4,141,4
4,151,4
4,157,4
4,169,4
4,193,5
5,0,4
5,3,5
5,5,3
5,6,4
5,7,4
5,8,4
5,11,4
5,12,3
5,14,4
5,15,5
5,16,4
5,19,3
5,21,3
5,22,4
5,29,2
5,35,3
5,38,5
5,39,4
5,49,4
5,55,4
5,63,3
5,67,4
5,88,3
5,97,4
5,98,4
5,99,4
5,103,3
5,115,4
5,116,4
5,117,2
5,119,4
5,133,4
5,137,3
5,141,5
5,150,5
5,157,4
5,169,4
5,171,4
5,187,3
6,0,5
6,2,5
6,3,5
6,8,5
6,15,4
6,19,4
6,22,5
6,80,5
6,112,5
7,0,4
7,2,4
7,4,5
7,13,5
7,29,5
7,33,5
7,44,5
7,58,4
7,61,5
7,79,4
7,121,4
8,0,5
8,41,4
8,53,5
8,72,5
8,91,5
8,109,4
8,124,5
8,168,4
9,0,5
9,1,5
9,3,5
9,4,4
9,5,5
9,16,4
9,21,5
9,83,4
9,88,4
9,99,4
9,157,4
10,0,5
10,1,5
10,2,5
10,4,5
10,12,5
10,21,5
10,26,5
10,36,5
10,42,3
10,43,5
10,71,4
10,88,5
10,94,3
10,117,4
10,121,4
10,128,5
10,164,4
10,169,4
10,187,5
10,189,4
10,193,4
11,0,5
11,3,5
11,4,4
11,7,5
11,8,5
11,10,4
11,11,5
11,14,5
11,15,5
11,17,5
11,19,4
11,20,4
11,21,5
11,22,4
11,28,5
11,33,4
11,35,5
11,36,5
11,37,4
11,39,5
11,41,5
11,42,3
11,43,5
11,45,4
11,49,4
11,50,4
11,51,4
11,52,3
11,53,5
11,54,4
11,58,4
11,63,4
11,65,4
11,67,4
11,71,5
11,76,4
11,96,4
11,97,5
11,99,4
11,100,4
11,105,4
11,116,4
11,125,4
11,126,4
11,133,4
11,147,4
11,150,4
11,169,5
11,179,4
11,185,4
11,187,4
11,191,4
11,197,4
12,0,4
12,3,4
12,4,4
12,6,4
12,8,4
12,10,4
12,12,4
12,13,4
12,15,4
12,16,4
12,17,4
12,20,4
12,21,4
12,23,4
12,35,4
12,36,4
12,37,4
12,39,4
12,43,4
12,46,4
12,50,4
12,57,4
12,61,4
12,63,4
12,65,4
12,78,4
12,85,4
12,87,4
12,88,4
12,89,4
12,90,4
12,92,4
12,97,4
12,99,4
12,101,4
12,105,4
12,106,4
12,107,4
12,112,4
12,115,4
12,116,4
12,117,5
12,119,4
12,125,4
12,138,4
12,141,4
12,147,4
12,150,4
12,157,4
12,163,4
12,166,4
12,171,4
12,177,4
12,180,4
12,181,4
12,186,4
12,195,4
12,197,4
13,0,5
13,14,5
13,19,5
13,139,5
13,140,5
13,174,5
14,0,5
14,4,5
14,16,5
14,29,5
14,35,5
14,99,5
14,133,5
14,160,4
14,166,4
15,0,4
15,6,4
15,7,5
15,8,5
15,10,5
15,21,5
15,25,4
15,26,4
15,28,4
15,33,5
15,50,4
15,72,5
15,76,4
15,89,4
15,92,5
