# 节点数  边数   ,108363  293298
37199,100113
37199,88188
37199,106731
37199,82547
37199,107583
37199,57671
37199,29730
37199,72193
37199,22485
37199,51062
37199,86246
37199,862
37199,55690
37199,86665
37199,54718
37199,65382
37199,44825
37199,72563
37199,75017
37199,91663
37199,27197
37199,81990
37199,33911
37199,95362
37199,103526
37199,22027
37199,33354
37199,7942
37199,59297
37199,1065
37199,90747
37199,5304
37199,81664
37199,16918
37199,75588
37199,27650
37199,1921
37199,3598
37199,61885
37199,25163
37199,81676
37199,45366
37199,27598
37199,96953
37199,44799
37199,62246
37199,95255
37199,19843
37199,78154
37199,13922
37199,1025
37199,97301
37199,74192
37199,68928
37199,16519
37199,19448
37199,71468
37199,22365
37199,20898
37199,105580
37199,3192
37199,75505
37199,32773
37199,69083
37199,66514
37199,1605
37199,3483
37199,96454
37199,45893
37199,5865
37199,3374
37199,13494
37199,11761
37199,97392
37199,23288
37199,39637
37199,63623
37199,47476
37199,8162
37199,21124
37199,12870
37199,104922
37199,7946
37199,7099
37199,21958
37199,69966
37199,33126
37199,66001
37199,19078
37199,75392
37199,2771
37199,3446
37199,19088
37199,7507
37199,91131
37199,66114
37199,65660
37199,19026
37199,70020
37199,49163
37199,44797
37199,73766
37199,19815
37199,18705
37199,40697
37199,5394
37199,83639
37199,43004
37199,78343
37199,58755
37199,86024
37199,47173
37199,25242
37199,103687
37199,55347
37199,4645
37199,2925
37199,82358
37199,78242
37199,73000
37199,31943
37199,46831
37199,85446
37199,50678
37199,33918
37199,18483
37199,3787
37199,31375
37199,69821
37199,12873
37199,8878
37199,50253
37199,49643
37199,53730
37199,95496
37199,44054
37199,48820
37199,12370
37199,105807
37199,214
37199,24496
37199,43917
37199,63176
37199,107393
37199,13400
37199,43611
37199,70222
37199,72755
37199,78864
37199,65567
37199,57369
37199,43483
37199,3345
37199,69988
37199,19799
37199,6588
37199,36238
37199,12078
37199,60931
37199,138
37199,27774
37199,75187
37199,41615
37199,14937
37199,50773
37199,11739
37199,19876
37199,83829
37199,16624
37199,66324
37199,32976
37199,77755
37199,76172
37199,5247
37199,81372
37199,43736
37199,20434
37199,19025
37199,28227
37199,43797
37199,64061
37199,81281
37199,78127
37199,620
37199,49386
37199,23905
37199,60852
37199,2584
37199,23375
37199,27681
37199,75600
37199,38498
37199,47894
37199,72429
37199,53609
37199,81318
37199,86121
37199,59807
37199,15226
37199,12618
37199,40342
37199,60315
37199,50222
37199,8565
37199,5569
37199,75091
37199,70473
37199,17610
37199,91196
37199,15192
37199,78128
37199,5756
37199,28311
37199,60550
37199,44335
37199,13780
37199,15637
37199,56728
37199,66977
37199,53911
37199,16572
37199,65122
37199,24446
37199,51088
37199,27092
37199,3495
37199,6272
37199,99068
37199,75591
37199,7491
37199,33893
37199,44783
37199,66956
37199,37176
37199,51654
37199,3544
37199,8393
37199,34731
37199,39307
37199,2252
37199,47833
37199,50798
37199,85200
37199,59580
37199,16424
37199,34588
37199,78544
37199,96375
37199,34617
37199,9165
37199,24384
37199,89315
37199,31210
37199,6987
37199,3626
37199,73146
37199,77321
37199,12631
37199,27321
37199,105769
37199,90611
37199,6487
37199,47938
37199,58152
37199,39795
37199,61465
37199,39122
37199,102748
37199,104410
37199,3680
37199,35774
37199,39931
37199,4857
37199,1110
37199,10388
37199,78382
37199,72027
37199,11280
37199,6184
37199,47687
37199,39218
37199,39680
37199,70114
37199,88418
37199,27198
37199,52643
37199,6492
37199,2741
37199,1824
37199,107984
37199,17385
37199,44091
37199,63854
37199,40359
37199,22371
37199,98893
37199,10933
37199,90063
37199,7574
37199,92759
37199,67824
37199,74889
37199,63144
37199,58405
37199,21672
37199,24548
37199,89404
37199,75434
37199,12423
37199,48650
37199,55229
37199,82799
37199,8355
37199,63978
37199,82797
37199,57937
37199,14847
37199,15363
37199,65198
37199,69628
37199,80
37199,99603
37199,64907
37199,9532
37199,29954
37199,60446
37199,48793
37199,4852
37199,65314
37199,66433
37199,9847
37199,51137
37199,37511
37199,12737
37199,50484
37199,67540
37199,46440
37199,104027
3283,34672
3283,104646
3283,478
3283,67928
3283,2814
3283,4090
3283,35443
3283,741
3283,34783
3283,53753
51540,21631
570,6415
570,624
570,53173
12012,4865
12012,26629
43532,23891
18929,19812
18929,24275
18929,12459
30064,105275
74651,8237
56409,24274
24927,27779
24927,101557
24927,76697
1156,61614
1156,9538
1156,24706
1156,69808
1156,54456
1156,88330
1156,3320
5708,67928
68286,90398
71441,81443
27225,177
27225,9073
51494,54906
2659,18603
2659,1967
2659,13195
101008,38573
101008,31519
101008,69869
23904,105374
23904,92661
23904,86336
23904,89694
23904,45971
23904,97774
23904,105408
23904,50835
23904,37979
23904,36394
46765,31641
46765,14819
46765,83941
46765,84963
46765,21325
46765,55987
46765,2831
46765,81349
46765,9753
46765,3068
39626,6190
26668,106275
26668,68734
26668,49763
26668,103516
26668,75959
26668,94463
80311,52130
80311,86295
80311,25217
80311,99389
80311,4785
80311,98057
80311,81235
80311,100977
80311,83447
80311,55376
80311,92452
80311,75909
80311,33847
53621,18603
53621,48908
53621,58738
61968,40782
1141,52430
1141,30395
1141,108267
1141,77521
1141,42759
1141,104653
1141,50500
1141,34118
1141,18159
1141,50658
1141,53466
1141,93503
1141,6943
1141,100845
1141,10729
1141,97375
1141,27379
1141,94666
1141,6064
1141,94614
1141,100947
1141,9804
1141,23623
1141,16104
1141,45775
1141,55975
1141,41296
1141,1267
1141,10008
1141,98710
1141,97529
1141,26615
1141,55437
1141,53569
1141,52878
1141,80385
1141,51983
1141,42079
1141,100850
1141,1579
1141,53776
1141,1752
1141,40945
1141,10002
1141,1331
1141,33751
1141,3729
1141,67433
1141,103865
1141,78466
1141,52891
1141,7089
1141,43894
1141,31710
1141,2876
1141,37583
1141,90613
1141,100216
1141,100935
1141,33527
1141,93419
1141,12798
6373,293
6373,336
6373,3744
77047,2322
87576,3258
87576,2322
87576,10807
87576,68833
87576,31750
90202,90486
38569,77797
94780,50835
94780,95518
31882,27422
66345,66788
15880,107807
15880,61779
15880,62376
15880,85565
15880,15484
15880,103161
15880,103441
15880,56658
15880,24285
15880,15109
15880,22142
15880,12432
15880,48766
15880,22825
15880,16055
15880,640
15880,5577
15880,9680
15880,102852
15880,75670
15880,101893
15880,106490
15880,4710
15880,22206
15880,77059
15880,67213
15880,771
15880,77220
15880,75387
15880,9801
15880,56050
15880,28381
15880,17998
15880,100858
15880,49846
15880,35370
15880,107965
15880,49232
15880,76956
15880,103300
15880,41224
15880,102288
15880,16715
15880,57186
15880,24340
15880,30026
15880,102239
15880,32634
15880,16718
15880,103166
15880,3529
15880,104098
15880,102729
15880,100232
15880,84434
15880,81266
15880,880
15880,102918
15880,60193
15880,69211
15880,90790
15880,30959
15880,22377
15880,3740
15880,101531
15880,52670
15880,81985
