dataset,GoodReadsDatasets/GoodReads_309t_2735w
ALPHA,0.2
G_Size,5
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,1.1361441539168001e-09
3.2,0.0546489989199492
3.3,0.0
3.4,0.0
3.5,0.05606274599423756
3.6,0.01804780270741489
3.7,0.2591198808780511
3.8,0.01146782144640521
3.9,0.04125411106545826
4.0,0.046921220334672734
4.1,0.2786829556290612
4.2,0.0666161908025128
4.3,0.05477040263156341
4.4,0.018198832178936482
4.5,0.08976766337159037
4.6,0.0
4.7,0.0044413729039972025
4.8,0.0
4.9,0.0
5.0,0.0
