dataset,GoodReadsDatasets/GoodReads_309t_84218w
ALPHA,0.2
G_Size,5
task_id,prediction_label
0,3.8
3,3.8
7,3.6000000000001107
14,3.9
20,4.4
21,4.2
25,4.1
40,4.200000001132372
41,3.9
44,3.9
60,4.300000000115117
66,4.2
70,3.9
100,4.0
194,4.3
199,4.5000000410884
270,3.9
272,3.7
293,4.300000000000085
294,4.0
297,3.9
298,3.7
4,3.9
9,3.9
15,4.0
49,3.7
61,4.3
62,3.8
71,4.2
83,3.7
85,3.499999999999996
88,4.0
92,4.29999999670756
115,3.9
296,4.1
6,3.9
8,3.5999999999999943
11,4.0
12,4.0
24,4.1
31,4.1
32,4.1
89,4.6
118,3.900042973953073
135,4.2
138,4.6
231,4.4
238,4.5
302,4.0
305,4.2
5,4.2
16,3.7
17,4.0
18,3.9
19,3.7
30,4.299999999999857
39,4.2
42,3.700000000047339
45,4.3
54,4.2
63,4.0
67,3.7
91,4.0
93,3.5999999999999353
94,3.7
95,4.2
96,3.9
97,3.5
98,3.8
101,3.9
102,3.9
103,3.9
106,4.000008706869594
107,3.7
108,3.8
109,3.7
114,4.0
236,4.0
239,3.8
242,3.7
249,4.1
251,3.9
261,4.1
295,4.6
299,4.2
301,4.2
308,3.9
27,4.2
153,3.700008841168987
154,4.5158392932881215
212,4.0
13,4.2
23,4.4
211,4.2
246,3.6
254,3.7
258,4.1
267,3.6
268,3.8
300,4.3
77,3.600000000009491
34,3.9
46,4.3
73,4.0
74,3.8
152,4.2
26,4.5
28,4.3
36,3.7
37,4.3
38,4.1
50,4.1
90,3.8
113,4.0
134,4.3
140,4.2
142,4.5
143,3.9
156,3.0
157,4.5
158,4.7
159,3.9
160,4.5
163,4.3
165,4.1
166,4.2
167,4.0
170,4.2
217,4.0
222,4.399999999999804
232,3.9
233,4.1
303,4.499999999999999
304,4.2
306,4.3
307,4.2
10,4.3
1,3.4
161,4.4997676674365135
33,3.9
48,4.0
52,3.8
56,4.2
57,4.0
69,4.0
116,3.9
171,4.2
192,4.3
218,4.2
120,3.8006585112986593
105,4.0
127,3.9
129,4.1
234,3.8
237,4.1
245,4.4
111,4.0
43,3.0
51,4.2
58,4.0
59,3.8
64,3.9
65,4.0
75,4.0
112,3.6
193,4.3
240,4.7
244,4.7
256,3.4999999999998983
257,4.6
260,4.4
262,3.9
263,3.9
264,3.9
269,3.9
271,3.6
29,4.0
180,3.8
224,4.3002827680380795
133,3.900000368167035
181,4.0
2,4.4
110,3.6
277,4.2
290,4.0
78,3.8
47,4.3
121,3.7000052561209795
278,4.29995088147242
86,4.2
252,4.3
191,4.7
196,4.4
197,4.4
208,4.0
213,3.8
214,3.9
221,3.9
235,4.3
250,4.1
265,4.2
287,4.3959573562908245
259,3.9
81,4.0
273,4.2
55,4.1
68,4.4
202,3.700000000000025
275,4.3
79,3.7000000010130374
266,4.4
289,4.199999360995754
168,4.0
200,4.2993173196479555
169,4.1
141,4.1
285,4.3
87,4.2
243,4.4
247,4.1
248,4.2
253,3.9
132,3.401385494801821
53,3.8
117,4.199936302630414
137,4.3
255,4.3
119,4.0
146,3.9
80,4.1
144,4.399484634781832
173,4.600000000002496
35,4.2
280,4.2
176,4.0
145,4.0
147,4.3
175,4.599999999999999
183,4.399999732399416
22,3.9
155,3.1999999999999993
104,3.8
76,4.2
198,4.2
292,3.8999999999993222
84,3.8
123,3.8
195,4.3
72,4.3
82,3.4000000050549968
136,3.9
150,4.2
151,3.9
204,4.2
122,4.199808787055305
203,4.0
216,4.0
139,4.4
172,3.400000000016851
174,4.1
186,3.600000000894854
178,3.9
207,4.2
283,4.0
206,4.1
205,4.0
99,4.1
187,4.0
201,4.0
124,4.0
210,4.399999999999897
288,4.2
162,4.399999901126428
291,3.9
276,4.2
220,3.9
279,4.2
126,4.1
209,4.299999999986219
282,4.499999999999877
182,3.799999999999934
284,4.1
185,4.600027561522897
219,4.199999993642626
190,4.292667435733762
286,4.499450899263623
188,4.299922143600173
149,3.700077814537745
179,3.700004522749346
189,4.299999999917172
125,3.9
130,3.5000000000000133
164,3.7000000124076595
281,4.1
131,3.400000115389246
225,4.499992648469203
227,4.199962674936128
228,3.4004083586708758
229,3.9
274,4.1
177,3.7000000852527464
215,4.2
184,4.1999999993008155
128,4.299055922387544
223,3.8999999996908605
226,4.2994811869470855
241,4.2
148,3.7000153205772426
230,4.198996592048496
