dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_1822w
ALPHA,0.1
G_Size,5
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0038386185861310354
3.0,0.0
3.1,0.025583881209231735
3.2,0.004425976943965955
3.3,0.0
3.4,0.08386641892782175
3.5,0.0
3.6,0.0
3.7,0.1229212069044064
3.8,0.0
3.9,0.2235379716879836
4.0,0.07608811406745038
4.1,0.3074689145304133
4.2,0.019398742011936313
4.3,0.0
4.4,0.0877578644597544
4.5,0.0
4.6,0.04511229067089907
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
