dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_4527w
ALPHA,0.1
G_Size,5
task_id,prediction_label
3,3.508414542899456
0,3.738824209605275
7,3.4938234110528263
14,3.7238374682428583
20,4.220720337466679
21,4.208634490113143
298,3.9750996798309415
297,3.848143395669642
25,4.002644866000434
294,3.8986802384308827
293,4.0926310826467205
40,4.232149300866347
41,3.99564008419124
44,3.816143597866469
272,3.500511830727117
270,3.896624125948396
60,4.5198822451241805
66,4.16122941346102
70,3.991855565464748
100,3.7282343187901525
199,4.298253621074318
194,4.198018577637884
300,4.146527687225327
62,3.7791834224950804
67,3.7594788540520603
254,3.538491477153236
244,4.500982156776334
234,3.718851598109646
93,3.287027509765064
105,4.029028581098136
158,4.8
154,4.585229020015922
5,4.113811920910767
6,3.970170125330812
42,3.289598866425579
45,4.156657740065192
46,4.1727610476685575
73,3.8725474530413764
74,3.499469765655213
152,4.1999111805412435
4,3.785426515694102
308,3.903419279765053
9,3.7643288452951458
11,3.812181599369017
12,3.5141123824407843
15,3.8362928270297756
304,3.898983318842917
301,4.0920198235534935
295,4.467348925499048
28,4.50547701143734
32,3.9785104458437197
33,3.7031111271346453
37,4.1290259495382875
38,3.9032324083993664
39,4.090351125611215
43,3.8892438738317283
49,3.5000563325562095
50,4.0502202869339925
51,4.225108516484919
54,4.21340229568459
271,3.2770855173421403
269,3.9000020475728756
56,3.928400200488133
268,3.806764252619915
58,3.9105091664575893
59,4.102084501371341
264,3.500046487194583
61,4.108387874579972
263,3.4988220828357446
262,3.808024876661356
63,3.7933436636078413
64,3.7670726769951317
65,3.81703493452698
261,3.8549996892745075
260,4.095169990411009
258,3.9204273569879327
257,4.100213779081074
256,3.2354842409902576
75,3.800159943417233
251,4.003655338510018
249,3.989427692005796
246,3.2002469491690153
240,4.579053433036996
239,3.714518892513628
238,4.514355979309843
85,3.499893474570476
88,4.009910794562972
89,4.276717610366261
91,3.7621043199696875
92,4.127440212099367
94,3.499897801822727
95,4.202119864404863
212,4.018981590545949
211,4.098255866286536
112,3.2917152009792914
193,4.074398582523258
8,3.2819573786214833
16,3.4998787159163895
17,3.8029596534542502
18,3.9225028418244063
19,3.202091070505251
299,3.9770577951576085
24,4.173359683168301
30,4.08021395021233
71,3.92112759459322
242,3.8036701998896802
236,3.986634066069084
96,3.8981577992523593
97,3.4999303101367834
98,3.5001744308975775
101,3.731764972908275
102,4.094765862277432
103,3.9000000004418425
106,3.901842771566862
107,3.8061892125389787
108,4.0
109,3.5005699356605304
114,3.900257532186791
115,3.9305274383746016
302,4.070931938625412
252,4.202479047283849
233,3.9998887031585744
86,4.098973798002799
231,4.204640743909415
90,3.5010934014705155
245,4.504993123278966
34,4.100000593513822
36,3.90006741402548
78,3.713359675602005
113,4.102043261073596
306,4.167071540694875
307,4.199606921476173
13,3.99882312948289
305,4.211423259820296
303,4.258481779993057
26,4.265285290415231
232,3.4999224664259367
222,4.2000511703200605
217,4.199842902725387
134,4.099999999975119
138,4.509048483587919
140,4.099999999999996
142,4.500903401907196
170,4.099999999988753
143,3.800389871197876
167,3.900000000125636
166,4.099888307437999
165,4.099997800098109
163,4.501539072646305
160,4.099995437893869
159,3.899999769309318
156,3.299412239998964
157,4.1956673030915015
296,3.959387279998691
83,3.5016233573901308
290,3.8000007220840573
277,4.107392499015119
237,4.0
110,3.2906495912326044
57,4.098019145099579
275,4.113059155856308
69,3.942508743875565
235,3.8950971785550945
202,3.9
1,3.289569474878893
53,3.899928553340656
2,4.202929468259061
31,3.993806674225207
243,4.197455658751813
119,4.199780860654736
192,4.217985558770858
29,4.0999899861204305
283,4.001583298609431
280,4.000376653868307
267,3.2916858552371715
266,4.157927824783412
76,3.9000000016521335
250,3.9999321292008045
248,4.063469825998623
82,3.499999991950629
198,4.099999999983541
178,3.9
27,4.193426100171051
169,3.999999947456087
77,3.2000001654214616
135,4.1626764160901795
153,3.5000000032431187
10,3.926840405924689
48,4.0228998658961865
35,4.104735663585296
23,4.50458647882038
99,4.1
52,3.9717069652681984
72,4.199477808120482
79,3.49999989778637
117,4.199978850623097
145,3.8999999995511567
116,3.800277585112645
120,3.8000139904116605
191,4.536876730473325
133,3.7012851197034977
181,4.1
255,4.245497096912033
55,3.900517546688636
172,3.500000001237412
161,4.500048972935147
265,4.296923410486343
68,4.293795115255871
118,3.9000130968704134
84,4.099999045733092
188,4.199999971896852
146,4.004451361892961
203,3.899999999999934
