# 节点数  边数   ,583  4092
185,339
185,283
185,119
185,512
366,69
66,446
66,555
66,551
66,19
3,500
3,465
3,20
3,193
3,172
3,501
3,183
3,171
3,571
3,31
3,91
3,107
3,555
3,39
3,458
3,495
3,481
3,257
3,191
3,163
3,311
3,181
3,222
3,135
3,357
3,559
3,217
3,194
3,69
3,260
3,15
3,212
3,38
3,487
3,162
3,419
3,253
3,161
3,349
3,475
3,44
3,160
3,452
3,111
3,18
3,365
3,539
3,127
3,195
3,246
3,112
3,342
3,269
3,190
3,450
3,203
3,50
3,448
105,20
105,568
105,524
105,446
105,89
105,27
105,163
105,518
105,135
105,101
105,194
105,439
105,383
105,12
105,111
105,237
105,26
105,337
105,334
214,74
214,41
214,290
214,63
214,54
174,31
174,573
174,458
174,462
174,400
174,190
174,450
541,313
541,540
197,445
197,172
197,368
197,74
197,293
197,73
197,0
197,296
197,207
511,301
511,39
511,509
567,243
567,443
567,26
255,33
295,171
295,571
295,31
295,221
295,120
295,481
295,74
295,353
295,135
295,41
295,73
295,69
295,15
295,177
295,63
295,16
295,12
295,33
295,72
295,23
295,388
295,337
295,50
377,31
113,440
113,268
113,293
113,476
113,73
113,331
113,260
113,162
113,143
113,456
113,42
20,12
522,555
193,258
193,27
193,257
193,72
479,454
552,571
360,412
360,72
413,423
514,352
514,55
514,184
514,311
514,74
514,181
514,41
514,304
514,138
514,177
514,63
514,403
514,462
514,475
514,44
514,160
514,12
514,18
514,530
514,337
514,19
514,241
514,112
514,342
514,210
514,50
10,113
10,20
10,445
10,424
10,236
10,31
10,301
10,91
10,107
10,184
10,336
10,458
10,368
10,120
10,74
10,67
10,78
10,41
10,357
10,559
10,217
10,194
10,73
10,461
10,68
10,15
10,374
10,526
10,216
10,36
10,44
10,160
10,12
10,33
10,447
10,23
10,127
10,54
10,195
10,337
10,342
10,517
10,448
371,113
371,445
371,31
371,361
371,323
371,184
371,311
371,78
371,476
371,461
371,141
371,15
371,397
371,296
371,72
371,23
371,337
371,227
371,112
282,138
282,44
433,193
433,445
433,270
433,91
433,107
433,184
433,39
433,440
433,225
433,120
433,268
433,46
433,518
433,491
433,181
433,78
433,357
433,217
433,194
433,260
433,15
433,509
433,374
433,162
433,58
433,253
433,526
433,349
433,160
433,230
433,182
433,72
433,19
433,112
433,566
433,50
348,301
348,440
348,47
348,74
348,67
348,338
348,333
348,73
348,260
348,15
348,162
348,180
348,23
348,54
348,26
348,203
348,350
149,172
149,568
149,560
149,304
149,243
149,461
149,72
149,54
149,50
498,446
498,184
498,495
498,138
498,72
498,517
572,412
183,339
263,31
263,218
263,388
569,119
275,572
275,336
275,63
275,26
275,210
60,500
60,431
60,501
60,568
60,171
60,571
60,254
60,236
60,31
60,91
60,446
60,39
60,368
60,120
60,518
60,181
60,194
60,374
60,443
60,162
60,6
60,253
60,526
60,44
60,160
60,224
60,112
60,342
60,50
568,359
64,120
64,156
64,338
64,73
64,138
64,412
64,15
64,38
64,177
64,16
64,12
64,42
64,26
64,210
116,113
116,27
116,94
116,70
116,74
116,181
116,476
116,97
116,212
116,33
116,151
313,541
313,571
313,338
571,72
571,26
527,510
527,521
527,31
527,120
527,454
527,509
527,18
527,72
254,477
254,54
254,337
173,249
173,187
173,112
201,445
201,569
201,120
201,67
201,293
201,290
201,162
201,414
201,18
201,393
201,199
201,23
201,337
201,227
201,312
201,50
31,120
31,181
55,20
55,572
55,236
55,120
55,156
55,559
55,217
55,459
55,73
55,343
55,162
55,125
55,4
55,403
55,12
55,256
55,199
55,453
55,26
55,112
55,210
55,203
55,312
55,50
271,293
361,113
361,74
361,42
506,20
506,301
506,120
506,209
506,135
506,543
506,160
506,72
506,449
90,91
90,89
90,39
90,573
90,191
90,139
90,111
90,437
90,176
107,193
107,571
107,446
107,551
107,216
107,160
323,74
323,204
323,387
323,343
323,461
323,363
323,199
323,127
323,388
323,241
184,356
184,160
184,50
429,218
89,339
89,236
89,573
89,120
89,518
89,139
89,559
89,219
89,210
89,50
39,225
39,389
39,582
39,138
39,412
39,529
39,6
39,44
39,12
39,18
39,199
221,356
221,139
221,338
336,101
336,164
440,407
440,113
440,161
130,193
130,301
130,446
130,135
130,349
130,127
266,462
266,119
27,396
187,579
187,496
278,74
278,139
158,510
158,285
158,525
158,537
158,135
158,112
94,145
94,446
94,540
94,129
94,576
94,349
94,72
94,112
95,185
95,500
95,467
95,522
95,504
95,193
95,445
95,259
95,258
95,171
95,455
95,524
95,91
95,484
95,39
95,395
95,120
95,191
95,100
95,122
95,283
95,186
95,509
95,443
95,6
95,253
95,327
95,496
95,404
95,261
95,403
95,17
95,160
95,12
95,111
95,442
95,237
95,256
95,182
95,240
95,109
95,179
95,127
95,175
95,119
95,512
30,375
30,91
30,247
30,525
30,135
30,141
30,443
30,444
30,327
30,161
30,111
30,112
324,113
324,268
324,74
324,576
324,322
324,15
324,308
324,462
324,160
324,54
324,26
324,337
441,301
53,20
53,259
53,572
53,31
53,484
53,120
53,486
53,5
53,74
53,189
53,78
53,41
53,315
53,16
53,296
53,462
53,475
53,447
53,274
53,199
53,240
53,478
53,23
53,388
53,26
53,337
53,312
120,31
120,18
120,199
59,361
59,323
59,458
59,486
59,338
59,293
59,406
59,239
59,322
59,58
59,327
59,110
59,16
59,42
59,22
59,199
59,478
59,23
59,388
59,337
59,312
59,50
70,15
70,26
70,334
575,445
575,94
575,368
575,476
575,42
575,26
575,337
354,323
354,459
354,73
354,42
354,23
354,26
156,236
156,194
156,141
156,237
156,199
257,164
191,23
297,352
297,445
297,440
297,187
297,120
297,217
297,15
297,547
297,253
297,44
297,447
297,18
297,72
297,23
297,337
297,367
46,573
46,120
46,257
46,217
46,253
46,566
399,172
399,138
399,26
540,541
434,500
434,522
434,568
434,107
434,184
434,94
434,573
434,120
434,139
434,559
434,217
434,167
434,219
434,526
434,469
434,4
434,425
434,349
434,462
434,437
434,18
434,182
434,23
434,151
434,54
434,26
434,337
434,566
434,203
434,517
434,574
369,209
369,73
369,216
369,12
369,33
523,160
29,571
29,31
29,184
29,39
29,516
29,181
29,260
29,15
29,162
29,44
29,160
29,12
29,240
29,388
29,19
29,50
491,255
491,72
426,73
426,343
426,243
426,35
426,18
426,42
426,72
426,151
118,500
118,375
118,455
118,521
118,311
118,516
118,100
118,122
