dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_760w_9r
ALPHA,0.1
G_Size,5
Iteration Count,200
task_id,prediction_label
3,3.6208816005207165
0,3.7003553950774126
7,3.9156909852318367
14,3.6369503705692097
20,4.163889503423852
21,3.9592294966792028
298,3.892365673049923
297,4.197081395619262
25,4.344965574792125
294,4.287629663237907
293,4.328577648807488
40,4.268425520582748
41,4.1485362668354275
44,3.8136204147735513
272,4.000000209811832
270,3.9652439946235294
60,4.73728932691005
66,4.446089894949276
70,4.1915479926592445
100,3.968559780305108
199,4.672746100385456
194,3.709414935025876
300,4.05966432394808
62,4.2437470965506545
67,3.686945546675358
254,3.4774314051350967
244,4.699813528642604
234,3.6016269787478477
93,3.086913998588527
105,4.230509586106525
158,4.700076933028704
154,4.700252130286851
5,4.347203852631478
6,4.295776158017469
42,3.3324442940788708
45,4.224185942075722
46,4.7026015135038515
73,3.93761829238034
74,4.0000000194599
152,4.0
4,3.936916363065441
308,3.9877650706365397
9,3.9404633863673975
11,3.9039622161847816
12,3.8216540520548317
15,4.311358255900139
304,4.291793616806461
301,3.8834811721501845
295,4.282194806150658
28,4.700054455237047
32,3.849518174675385
33,3.900033153527545
37,4.2974281830829275
38,4.296573382094206
39,3.8647141344250597
43,3.667666788126991
49,3.934782125159597
50,4.297334978908176
51,3.934366528108502
54,4.293993633343623
271,3.841348615562965
269,3.600157354220136
56,3.9550141059710353
268,4.174969569891093
58,4.144825304719394
59,4.002374089289234
264,4.005413836802073
61,4.269926029441519
263,4.26251242851855
262,3.2501035348934932
63,3.5596847974338357
64,4.697778275838502
65,4.047206789807703
261,4.218762365899903
260,4.298881784665734
258,4.244940632487817
257,4.117456581624798
256,1.9
75,3.964402061665466
251,4.022579075161328
249,4.289945901315316
246,3.427326520925259
240,4.382254276477974
239,3.632183013342943
238,4.27326510680221
85,3.5957024294378384
88,4.137417998067166
89,4.221677970135352
91,3.9371690963996557
92,3.937645529737928
94,3.155375946884613
95,4.66561220619285
212,3.6159263302565807
211,4.700038623607214
112,3.600030233744451
193,3.959176609915757
8,3.16403122105222
16,3.766597049774607
17,3.959076660964654
18,4.2658143019967945
19,3.937044936969257
299,4.30470915011798
24,4.281305565000253
30,3.9331982043972693
71,4.649434358062003
242,3.61233747686399
236,3.917521796036442
96,3.602408922467607
97,3.6461009423245616
98,4.000000002404
101,3.606114065275292
102,4.144726805076243
103,3.900000000020581
106,4.1063750858102255
107,3.954828596000613
108,3.946419514356204
109,3.747436539508128
114,3.9567305189288455
115,3.8267930417888865
302,4.298395960305906
252,4.294379603932613
233,4.296376103244912
86,3.884204779386216
231,4.177928686630078
90,3.8795428411167467
245,4.2985862353110145
34,4.099994363566407
36,3.9473561148218432
78,3.19274423526832
113,4.096912468141842
306,4.699969768225279
307,4.700000575887937
13,3.6678910626123526
305,4.700609479352226
303,4.662885302672569
26,4.668584322232712
232,3.582702957959258
222,4.700017864298234
217,3.9209659717313334
134,4.0
138,4.295387240682584
140,4.298829007155243
142,4.299588773614393
170,4.299030582722893
143,3.9288571733192925
167,4.0
166,4.043353232490591
165,3.894979573343187
163,4.3006344545957615
160,4.295368045607316
159,3.6014096942769385
156,3.102662556764643
157,3.9997681596955146
296,4.294868139498017
83,4.000003114271158
1,3.604054217684399
53,3.096099682129102
2,4.7001515360204325
31,4.093140254891502
243,4.254283678358761
119,4.700000156019675
10,4.026694765103003
69,3.92405425701231
84,4.7000000038533605
35,4.297558354502649
188,3.900024514557211
146,4.2871469818733745
203,4.299732668929339
285,4.700007942664417
29,4.0217816010390095
52,4.700023721931268
110,3.143276379022078
135,4.289015975107492
176,4.0
77,3.0985393712321123
47,4.099999424996595
48,4.298901642817055
55,4.700001057109082
266,4.142099305812686
259,4.70022806538559
68,4.299074706823317
255,4.29705896267664
72,3.926844243742593
205,3.8999924215482444
191,4.700060905038161
27,4.295392428142417
169,4.0
275,3.9307690351750284
235,3.6146977718038764
213,3.299019686231209
202,4.099957692499848
200,3.9883097137183885
23,3.962565451430344
57,4.700387755675717
99,4.198878204914466
267,3.0900324252523315
125,3.1
164,3.916949627281454
161,4.2998370071876275
76,4.0
248,4.296620281668193
79,4.01554729602591
82,3.2981288963056623
117,4.299155210089323
145,3.85902049735143
116,3.9006071456729816
253,3.601700902151378
247,3.9000039973386054
87,3.8012645723732494
237,3.900000003296628
192,4.291645798584478
133,3.800852140209702
181,3.898136520343632
290,3.821834402734211
