dataset,GoodReadsDatasets_RedundancyCut/GoodReads_309t_854w_10r
ALPHA,0.1
G_Size,5
Iteration Count,99
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0032362460995643805
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0035273959161617654
2.8,0.0
2.9,0.0
3.0,0.013412904387910787
3.1,0.05428260244103669
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.10101463470195839
3.6,0.0
3.7,0.0
3.8,0.1807015755530851
3.9,0.08561485675631926
4.0,0.12918030015819998
4.1,0.15330229654224328
4.2,0.06869417215745588
4.3,0.0
4.4,0.0067116729040190585
4.5,0.15930513581552122
4.6,0.0
4.7,0.0
4.8,0.041016206566520275
4.9,0.0
5.0,0.0
