task_id,truth
0,4.2
1,4.0
2,3.8
3,4.1
4,4.4
5,4.5
6,4.0
7,4.2
8,4.3
9,4.1
10,4.3
11,4.1
12,4.4
13,4.7
14,4.7
15,4.3
16,4.3
17,4.2
18,3.8
19,4.0
20,4.4
21,4.0
22,4.0
23,4.4
24,4.6
25,4.8
26,4.0
27,3.2
28,4.5
29,4.8
30,4.6
31,4.3
32,4.4
33,4.3
34,3.6
35,4.4
36,4.4
37,4.2
38,4.2
39,3.9
40,4.5
41,4.2
42,4.4
43,4.2
44,4.6
45,4.6
46,4.3
47,4.7
48,4.5
49,4.7
50,4.8
51,4.4
52,4.0
53,4.3
54,4.4
55,3.9
56,4.1
57,4.5
58,4.3
59,3.8
60,4.0
61,4.0
62,3.9
63,4.4
64,4.2
65,4.1
66,4.1
67,4.2
68,4.4
69,4.1
70,4.5
71,3.9
72,4.7
73,4.3
74,4.4
75,3.8
76,4.3
77,3.8
78,4.2
79,4.0
80,4.5
81,4.3
82,4.3
83,4.4
84,4.7
85,4.6
86,4.6
87,4.2
88,4.4
89,4.5
90,4.4
91,4.4
92,4.6
93,4.2
94,4.3
95,4.3
96,4.4
97,4.2
98,4.2
99,3.8
100,4.4
101,4.3
102,4.4
103,4.5
104,4.6
105,4.6
106,4.6
107,4.5
108,4.4
109,4.7
110,4.2
111,3.2
112,4.5
113,3.9
114,4.2
115,4.7
116,4.5
117,4.1
118,4.5
119,3.8
120,3.6
121,4.2
122,4.4
123,4.3
124,4.0
125,4.8
126,4.5
127,4.2
128,4.4
129,4.4
130,4.5
131,3.9
132,4.5
133,4.7
134,4.8
135,3.7
136,4.7
137,4.4
138,4.2
139,4.1
140,4.3
141,4.1
142,3.8
143,3.9
144,3.7
145,4.7
146,4.2
147,4.7
148,4.2
149,4.6
150,4.0
151,4.7
152,4.5
153,4.8
154,4.0
155,3.8
156,4.3
157,4.0
158,4.3
159,3.9
160,4.1
161,4.4
162,4.4
163,4.5
164,3.0
165,4.7
166,4.1
167,4.5
168,4.0
169,4.7
170,4.1
171,4.4
172,4.9
173,4.6
174,4.6
175,4.2
176,4.0
177,3.8
178,4.4
179,4.4
180,4.5
181,4.3
182,4.4
183,4.9
184,3.7
185,4.2
186,2.8
187,4.5
188,4.8
189,4.1
190,4.5
191,4.3
192,4.5
193,4.5
194,4.3
195,4.7
196,4.1
197,4.4
198,4.6
199,4.6
200,4.3
201,4.4
202,4.3
203,4.3
204,4.4
205,4.7
206,4.5
207,4.5
208,3.8
209,4.7
210,4.3
211,4.0
212,4.0
213,4.5
214,4.2
215,4.2
216,4.1
217,4.3
218,4.5
219,4.2
220,4.7
221,4.9
222,4.6
223,4.2
224,4.6
225,3.8
226,3.6
227,3.3
228,4.5
229,4.2
230,4.1
231,4.3
232,4.6
233,3.2
234,3.6
235,4.5
236,4.3
237,3.6
238,4.2
239,4.1
240,4.4
241,4.4
242,4.3
243,4.8
244,3.8
245,4.7
246,4.4
247,4.1
248,4.5
249,4.4
250,4.4
251,4.0
252,3.7
253,4.1
254,4.6
255,4.3
256,4.2
257,4.6
258,4.7
259,4.5
260,4.8
261,4.3
262,4.7
263,4.2
264,4.3
265,4.1
266,4.3
267,4.1
268,4.7
269,4.6
270,4.2
271,4.0
272,4.1
273,4.4
274,3.9
275,4.0
276,4.5
277,4.2
278,4.4
279,4.7
280,4.8
281,3.8
282,3.6
283,4.4
284,3.6
285,3.5
286,4.6
287,4.7
288,4.0
289,3.8
290,4.1
291,4.0
292,3.9
293,4.1
294,4.3
295,5.0
296,4.6
297,4.7
298,3.7
299,4.8
300,4.3
301,4.0
302,4.1
303,4.8
304,3.9
305,4.8
306,3.0
307,3.5
