# 节点数  边数   ,0  293298
1642,1060
432,879
432,713
432,1751
861,1251
861,866
1541,1641
486,1251
1954,298
471,143
16,861
16,481
16,1089
16,1375
16,733
16,279
16,2721
16,571
16,1745
16,379
16,938
16,2820
16,1369
16,2365
16,556
16,389
16,1268
16,663
16,2126
16,976
16,1197
16,519
16,1641
16,2617
16,2041
16,1800
16,1743
16,153
16,452
16,2109
16,2359
16,847
16,2644
16,1445
16,2446
16,1127
16,657
16,2427
16,1022
16,1026
16,2552
16,2657
16,2381
16,1687
16,641
16,936
16,2361
16,2445
16,1692
16,925
16,2356
16,2601
16,2773
16,2433
16,528
16,3124
16,152
16,3078
16,355
16,871
16,775
16,418
16,2771
16,2924
16,655
16,818
16,582
16,2526
16,709
16,426
16,2990
16,2068
16,1106
16,425
16,2252
16,2439
16,1608
16,1179
16,215
16,1968
16,278
16,1471
16,497
16,1161
16,2980
16,1430
16,2159
16,1230
16,437
16,55
16,1549
16,2797
16,273
16,2675
16,841
16,2965
16,1182
16,10
16,1232
16,1286
16,2482
16,943
16,2146
16,2397
16,2958
16,2738
16,1218
16,2389
16,81
16,2537
16,2694
16,1168
16,2358
16,1567
16,2115
16,1598
16,735
16,647
16,457
16,1253
16,1018
16,671
16,2086
16,59
16,1087
16,1162
16,2212
16,2539
16,2912
16,54
16,2202
16,2337
16,2769
16,2191
16,1272
16,685
16,1599
16,204
16,1083
16,2483
16,2984
16,1619
16,362
16,1499
16,759
16,249
16,674
16,2981
16,451
16,1604
16,2301
16,2626
16,2076
16,2386
16,11
16,369
16,2757
16,345
16,2833
16,2581
16,261
16,2288
16,829
16,468
16,2485
16,3004
16,1134
16,794
16,414
16,1503
16,2151
16,2293
16,2628
16,156
16,3114
16,668
16,1474
733,298
665,143
665,1770
1306,2
1306,54
1306,1050
1306,816
1313,1525
1113,169
1113,217
1113,1465
616,1558
31,2459
31,938
31,556
31,2845
31,1245
31,291
31,2361
31,2096
31,818
31,778
31,2636
31,1180
31,2599
31,1230
31,118
31,723
31,143
31,2219
31,685
31,2885
31,171
31,2264
31,2383
2299,2645
2299,1361
2299,2853
2299,1609
2299,2831
1810,1082
120,2288
706,1942
1052,1342
1052,969
765,143
2348,1596
2348,2359
2348,2846
2348,1688
2348,418
2348,2336
2348,2142
2348,13
2348,2386
2348,691
2348,1261
1383,163
1383,2288
832,1403
838,525
1780,1788
1780,2601
846,1197
846,969
846,2288
2569,1344
2459,2709
2459,1503
1186,2328
1186,1308
1186,188
3003,584
3003,2620
3003,1304
3003,1721
3003,2893
2640,2858
2640,494
2640,3031
2640,2669
2640,946
2640,2625
2640,1721
2640,685
2640,1503
2327,2105
220,265
220,1296
220,51
220,835
220,2288
1584,556
1584,2
1584,561
379,143
379,576
91,659
91,143
1397,1951
