dataset,GoodReadsDatasets_SWTest/GoodReads_3135_308t
ALPHA,0.1
G_Size,5
Iteration Count,67
task_id,prediction_label
0,3.800022342334609
1,3.794822851485762
2,3.800024170818768
3,3.9999822322878433
4,4.299999494871087
5,4.300223337553729
6,3.700430763218456
7,4.302647718404881
8,3.9006788411031224
9,3.899912365264985
10,4.200022987979727
11,3.7992995342538336
12,3.7999821241630807
13,3.90001780253252
14,4.0999820249718155
15,3.8001524391626957
16,3.9001292663963287
17,3.800063172186881
18,3.5000030384215974
19,3.799949780529841
20,3.70000208178207
21,4.100007072112743
22,4.099856144733212
23,3.8999664139801964
24,4.400000784558192
25,4.399999522641411
26,3.999942838456741
27,3.992417855401291
28,4.000178672941326
29,4.599879886816349
30,4.399995429534215
31,4.499373570225005
32,3.89999908116794
33,4.300186934467639
34,4.000264397119178
35,3.599994535608492
36,3.6000983201744234
37,3.599695633744106
38,3.999886267610876
39,3.700004642768755
40,3.500044516151226
41,3.899997086748889
42,4.099997377183802
43,4.300049912292671
44,4.501012268702876
45,3.8000035216042454
46,3.8998381098720154
47,4.2000126952834815
48,4.10007599389731
49,4.000005054361242
50,4.30032130172269
51,3.60005325212957
52,3.798655478361776
53,3.6000873743053283
54,3.800028114747114
55,4.199947871960174
56,3.698491578198237
57,3.5997479519342783
58,3.800592521583468
59,3.7999945260682773
60,3.9006067294613427
61,3.9416418716451154
62,3.908884467280627
63,3.799930591492842
64,3.9000802823497827
65,3.699252764051845
66,3.799117334109674
67,3.900002805749063
68,3.7004154788988433
69,3.502470078886758
70,4.099692957692645
71,3.6999337291316423
72,4.099988419323748
73,3.8001941905543677
74,3.997767844676795
75,4.4996407128284295
76,4.000066248685444
77,4.1999720056084735
78,3.9999891805505894
79,4.091998921096326
80,3.8979876079319937
81,4.58040958893636
82,3.700030535558392
83,4.399993392757424
84,4.200014178200097
85,4.299962458091396
86,3.800002482296087
87,3.799980485246079
88,4.209635879722658
89,3.2999999999999927
90,3.7004445776440607
91,4.099955478460505
92,3.5000164270248604
93,3.8002433775168134
94,4.299990409007569
95,3.5997833367245553
96,3.9997104649038846
97,4.100618214397712
98,3.500000003408436
99,4.399986469536703
100,4.300803543160196
101,4.100150718156038
102,4.200062644695584
103,4.34025861369962
104,4.197816813573745
105,3.9985088591829614
106,3.799886648416983
107,4.500530841559939
108,4.10000365377078
109,3.98696212639794
110,3.7983597734978662
111,4.399755822690243
112,4.000381101173878
113,3.7999952008648945
114,4.0000772389863455
115,4.199430297874468
116,3.900115297909338
117,4.000173459661475
118,3.700105510673355
119,3.723498837858007
120,4.300540564120092
121,3.8395864064615877
122,4.36008193177408
123,4.300106546276983
124,4.583380221600783
125,4.097868335733409
126,3.999807130228905
127,4.004197428378628
128,3.673194284503859
129,3.800000629651186
130,3.801072382521518
131,4.3998847382383675
132,3.805927655532864
133,4.000019687788064
134,3.6006716746634244
135,4.300831240568614
136,3.999969766448053
137,3.800024539448692
138,3.8000892359270586
139,3.8034460926253324
140,3.900438482031061
141,3.3000000503012923
142,4.099250180399628
143,4.599583986913433
144,4.50160408043128
145,3.5992173277821227
146,4.400356771146216
147,4.200001651101454
148,3.800107920315988
149,3.9001339704518463
150,3.7015781526810225
151,3.8962158934187863
152,3.5000577376300015
153,3.700354678986978
154,4.001418121741117
155,3.80000347606841
156,3.9023963535159347
157,4.064843156362122
158,3.8217376705135675
159,4.033181171422363
160,4.301105458405064
161,4.493813877854232
162,4.099934628335621
163,3.8000608173985744
164,3.681216225260737
165,3.9872461909829604
166,3.8326480383072647
167,3.3000085546738958
168,4.004970921481174
169,4.403000732425926
170,3.6905329466252343
171,4.307377318829467
172,3.9027080293056775
173,4.200039256939445
174,4.100765315653954
175,4.100001319793912
176,4.200529090066013
177,4.598473392332097
178,4.398532322622641
179,4.280684784642513
180,4.400009011325946
181,3.7955804717408435
182,3.706883596947566
183,3.7357077619737473
184,3.9373501567318145
185,4.100063995233631
186,3.800704090327482
187,4.100879552833668
188,3.8933832727886575
189,4.003486801227126
190,3.8695072380882256
191,3.9475510954245894
192,4.099999999009525
193,4.299566201335232
194,3.810840708807608
195,3.889765601720668
196,4.193528915132131
197,4.099999999621614
198,4.2844142627624064
199,4.000995392563111
200,4.299193229161914
201,3.9000084973750497
202,3.9966981682666893
203,3.8033520953933144
204,4.09982452698644
205,4.063227870395621
206,3.9992545930385703
207,3.804068147699762
208,3.799773743416555
209,4.303389421938544
