worker_id,task_id,label
0,0,2
0,1,4
0,2,3
0,3,4
0,4,4
0,5,2
0,6,2
0,7,2
0,8,3
0,9,4
0,10,4
0,11,4
0,12,4
0,13,3
0,14,4
0,15,4
0,16,4
0,17,2
0,18,2
0,19,3
0,20,2
0,21,4
1,0,2
1,22,2
1,23,2
1,24,4
1,4,5
1,5,5
1,25,3
1,26,4
1,27,4
1,12,5
1,28,4
1,29,3
1,30,3
1,31,4
1,32,4
1,33,3
1,34,4
2,0,2
2,22,2
2,35,2
2,36,2
2,23,5
2,37,3
2,38,2
2,24,4
2,5,2
2,39,2
2,40,3
2,41,2
2,10,4
2,12,5
2,28,5
2,42,5
2,32,5
2,13,1
2,43,4
2,44,5
2,45,4
2,46,4
2,47,4
2,48,5
2,49,2
3,0,5
3,22,4
3,50,5
3,2,5
3,36,3
3,23,5
3,37,4
3,38,5
3,3,4
3,24,5
3,51,5
3,52,4
3,53,5
3,54,5
3,4,5
3,5,5
3,39,5
3,6,4
3,55,5
3,56,4
3,7,5
3,57,3
3,9,5
3,58,5
3,59,5
3,10,5
3,26,5
3,27,5
3,60,4
3,11,5
3,61,4
3,12,5
3,28,5
3,31,5
3,42,5
3,62,5
3,32,4
3,63,5
3,64,4
3,65,5
3,66,5
3,67,5
3,68,4
3,13,5
3,69,4
3,70,4
3,71,5
3,72,5
3,73,4
3,74,4
3,75,5
3,76,5
3,33,5
3,77,4
3,78,5
3,79,4
3,80,5
3,81,5
3,82,5
3,16,4
3,19,5
3,83,5
3,84,4
3,85,5
3,86,5
4,0,5
4,2,2
4,23,4
4,37,3
4,4,5
4,39,4
4,87,3
4,7,4
4,11,4
4,61,2
4,12,5
4,44,4
4,88,3
4,89,5
4,90,5
4,18,5
4,19,4
4,85,4
5,0,5
5,22,5
5,35,3
5,2,3
5,23,5
5,37,4
5,38,2
5,91,5
5,3,2
5,24,4
5,5,5
5,92,4
5,55,4
5,58,4
5,10,4
5,32,4
5,72,5
5,44,3
5,46,5
5,18,5
5,19,5
5,83,3
5,20,3
5,84,5
5,85,2
5,86,5
6,0,2
6,1,4
6,7,5
6,9,5
6,59,5
6,12,4
6,89,5
6,93,5
6,78,4
6,94,3
6,81,4
6,95,4
6,96,5
6,82,3
6,97,3
6,98,5
6,16,5
6,99,4
7,0,4
7,22,4
7,2,4
7,23,4
7,37,4
7,38,3
7,3,4
7,24,4
7,52,3
7,4,4
7,5,4
7,39,3
7,87,4
7,55,4
7,41,4
7,10,4
7,60,4
7,12,4
7,28,4
7,100,3
7,29,4
7,32,4
7,65,4
7,13,4
7,72,4
7,44,5
7,46,5
7,47,4
7,18,4
7,83,4
7,84,4
8,0,5
8,22,4
8,2,3
8,23,4
8,37,3
8,38,4
8,3,3
8,24,4
8,52,4
8,4,4
8,55,3
8,101,5
8,10,4
8,12,4
8,32,4
8,18,5
8,83,4
8,20,5
8,84,4
9,0,5
9,22,4
9,35,3
9,2,4
9,36,3
9,23,5
9,102,2
9,37,5
9,38,3
9,24,4
9,52,4
9,53,4
9,54,3
9,5,5
9,55,4
9,10,4
9,28,5
9,42,4
9,32,4
9,65,4
9,13,5
9,72,4
9,46,5
9,19,3
10,0,2
10,1,4
10,2,5
10,36,2
10,102,4
10,3,4
10,52,3
10,99,3
11,0,5
11,103,3
11,1,4
11,35,5
11,36,4
11,37,5
11,38,4
11,91,5
11,3,3
11,24,4
11,51,2
11,53,2
11,54,3
11,5,5
11,92,5
11,39,5
11,6,5
11,104,4
11,87,4
11,105,3
11,55,3
11,41,5
11,101,5
11,106,5
11,107,5
11,10,3
11,12,4
11,108,4
11,109,5
11,110,4
11,46,5
11,111,3
11,18,4
11,19,4
11,83,5
11,20,4
11,84,4
11,99,4
11,85,4
11,48,5
11,112,5
11,113,5
11,49,4
11,86,4
12,0,3
12,4,5
12,5,5
12,92,4
12,39,3
12,87,4
12,41,4
12,114,3
12,12,4
12,32,4
12,115,3
12,18,5
12,112,5
12,49,5
12,116,5
12,86,4
13,0,5
13,39,5
13,9,4
13,117,4
13,118,5
13,119,4
13,120,5
13,61,4
13,121,4
13,122,5
13,123,4
13,69,5
13,70,5
13,72,5
13,124,4
13,125,5
13,126,4
13,127,4
13,128,5
13,15,4
13,129,5
13,78,5
13,18,4
13,113,5
14,0,4
14,37,4
14,24,3
14,5,4
14,55,4
14,8,4
14,12,4
14,42,5
14,130,4
14,125,4
14,45,5
14,131,4
14,18,5
14,19,4
14,99,5
14,116,5
15,0,4
15,22,3
15,50,4
15,35,4
15,36,2
15,23,4
15,37,4
15,38,2
15,3,2
15,24,3
15,52,4
15,53,4
15,54,3
15,4,4
15,5,5
15,39,3
15,55,4
15,60,2
15,12,3
15,32,4
15,132,4
15,33,3
15,133,4
15,134,4
15,44,3
15,46,5
15,135,3
15,136,3
15,137,5
15,94,3
15,80,4
15,81,4
15,95,4
15,18,4
15,19,4
15,83,5
15,84,5
15,99,4
15,48,5
15,86,4
16,0,5
16,22,5
16,2,4
16,23,4
16,37,4
16,38,5
16,3,5
16,24,4
16,52,4
16,53,4
16,54,3
16,4,5
16,55,5
16,28,3
16,72,4
16,138,3
16,33,3
16,19,4
16,99,5
16,85,5
17,0,5
17,50,3
17,23,4
17,102,4
17,37,4
17,38,3
17,24,4
17,52,4
17,54,3
17,26,3
17,61,3
17,12,4
17,32,5
17,47,5
18,0,3
18,22,4
18,50,4
18,2,4
18,23,2
18,37,5
18,38,4
18,24,4
18,4,5
18,5,4
18,105,4
18,41,4
18,114,4
18,106,4
18,139,5
18,56,5
18,7,5
18,57,4
18,140,5
18,9,4
18,25,4
18,107,3
18,141,5
18,59,3
18,119,5
18,142,5
18,143,4
18,10,5
18,26,5
18,60,5
18,144,4
18,145,4
18,11,3
18,61,3
18,12,4
18,146,4
18,30,4
18,31,5
18,42,4
18,62,3
18,32,3
18,63,3
18,64,4
18,65,4
