dataset,GoodReadsDatasets_SWTest/GoodReads_4845_309t
ALPHA,0.1
G_Size,5
Iteration Count,72
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.012948096648327051
3.3,0.0
3.4,0.006926175858676646
3.5,0.012485663419100809
3.6,0.047563652585899646
3.7,0.0609007203131295
3.8,0.1503826731172422
3.9,0.12293606606245121
4.0,0.1637188063813271
4.1,0.13542522305066138
4.2,0.0734552206308433
4.3,0.09615834429237509
4.4,0.0520276552655676
4.5,0.030889820958780814
4.6,0.03418188141561213
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
