# 节点数  边数   ,0  293298
336,361
2458,1556
2458,3736
593,651
593,673
593,1294
593,1037
593,2606
1805,225
1805,1301
1269,1839
1269,1274
3592,3272
3592,1764
413,1365
413,1231
413,785
413,188
2298,2457
670,1839
670,234
2389,1361
2389,4382
2389,3203
2389,3308
2389,1732
2389,4728
2389,189
2389,4693
2389,1793
2389,873
2389,4521
2389,4459
4469,225
2927,403
2927,870
648,188
4305,3727
4305,3879
4305,3459
19,3474
19,1269
19,661
19,1600
19,4469
19,2028
19,1063
19,2782
19,377
19,4138
19,815
19,2596
19,2033
19,522
19,1383
19,4306
19,2017
19,972
19,3585
19,792
19,533
19,1863
19,3270
19,961
19,3193
19,1442
19,1763
19,3717
19,1041
19,727
19,2457
19,3957
19,3066
19,3280
19,2681
19,3730
19,569
19,2593
19,201
19,618
19,3343
19,3171
19,3578
19,1242
19,4010
19,1830
19,2135
19,3703
19,4293
19,1659
19,952
19,3676
19,1900
19,4477
19,1508
19,1512
19,3858
19,4035
19,3612
19,2521
19,3366
19,1101
19,923
19,3458
19,1380
19,3973
19,1095
19,3580
19,4808
19,3702
19,2527
19,2326
19,1368
19,4235
19,3574
19,3019
19,2665
19,3929
19,4225
19,4821
19,3683
19,4377
19,744
19,592
19,4817
19,200
19,4733
19,4244
19,486
19,1280
19,1132
19,574
19,2359
19,1902
19,4222
19,1829
19,4482
19,761
19,949
19,1193
19,832
19,2429
19,3817
19,1031
19,584
19,4029
19,4590
19,3111
19,4439
19,2966
19,1629
19,583
19,3399
19,3692
19,2409
19,933
19,1733
19,281
19,2950
19,376
19,2187
19,1283
19,1163
19,3608
19,689
19,1706
19,4576
19,2115
19,3252
19,1809
19,603
19,74
19,2311
19,4264
19,1632
19,268
19,3521
19,1949
19,4394
19,680
19,370
19,4060
19,1231
19,4555
19,1737
19,12
19,1811
19,1896
19,3089
19,711
19,3756
19,1388
19,3230
19,3637
19,4543
19,4167
19,1793
19,3625
19,107
19,3834
19,745
19,4090
19,1717
19,3577
19,2375
19,2335
19,4521
19,3179
19,2394
19,1068
19,932
19,625
19,1648
19,1844
19,1503
19,4145
19,974
19,423
19,3136
19,79
19,534
19,1598
19,1709
19,358
19,2948
19,3340
19,3837
19,3811
19,1848
19,4459
19,73
19,567
19,2279
19,3323
19,3539
19,1254
19,4220
19,3305
19,1869
19,996
19,2395
19,3491
19,269
19,1597
19,1615
19,870
19,1592
19,2328
19,3758
19,4583
19,3155
19,2426
19,497
19,2238
19,1110
19,332
19,3657
19,978
19,4577
19,617
19,283
19,2405
19,3480
19,3984
19,3123
19,1005
19,3619
19,1574
19,13
19,508
19,4203
19,1288
19,3482
19,4349
19,470
19,4324
19,2487
19,2512
19,3899
19,348
19,2321
19,3158
19,987
19,3459
19,1207
19,643
19,3761
19,4615
19,1668
19,1156
19,568
19,2243
19,3243
19,3467
19,232
19,359
19,3986
19,204
19,323
19,4802
19,970
19,2190
19,4023
19,304
1063,403
966,188
966,2634
1932,4812
1932,945
1932,2563
1932,3
1932,1743
1932,73
1932,1544
1932,1191
1946,2275
1946,423
1946,1848
1428,1383
1428,3858
1428,108
1638,220
1638,284
1638,2172
1638,2948
888,2323
39,3721
39,1383
39,3131
39,4500
39,972
39,792
39,4341
39,1828
39,3203
39,394
39,3580
39,3151
39,349
39,1193
39,1137
39,3999
39,1734
39,3927
39,1809
39,155
39,1050
39,188
39,1254
39,3350
39,996
39,4015
39,4417
39,225
39,3419
39,1288
39,1903
39,437
39,3616
4146,3465
3476,3203
3476,4011
3476,2007
3476,4359
3476,4028
3476,4524
3476,2411
3476,4322
377,4425
2698,845
2698,1591
2698,870
272,792
272,569
157,3459
4811,2407
1816,4360
1816,316
1025,2904
3199,924
3199,4087
2584,3026
1546,1981
1546,1432
1117,188
518,691
3559,3131
3559,2391
3559,1834
3559,3578
3559,4343
3559,2522
3559,574
3559,3537
3559,3225
3559,16
3559,3619
3559,1003
3559,1854
3559,987
2401,4212
2401,2028
2401,2398
2401,2233
2401,2457
2401,3703
2401,2904
2401,4833
2401,3973
2401,3019
2401,3396
2401,4084
2401,574
2401,3537
2401,3252
2401,3386
2401,4693
2401,2502
2401,4524
2401,3477
2401,1668
2401,4023
2039,3003
2039,214
2039,3459
1212,2575
1212,2069
1688,4343
1688,574
1688,4579
4381,2782
1522,3529
1226,740
2648,2659
2648,3929
1241,1763
1241,1432
1241,3158
1241,3459
3876,1983
3876,2695
3721,870
3721,4116
3721,2243
1745,3523
1745,1934
1745,247
4613,972
4613,834
4613,3964
4613,349
4613,4627
4613,0
4613,1930
4613,2560
4613,4412
4613,910
4613,4430
4004,4366
4004,683
4004,3019
4004,4029
4004,2912
4004,4656
4004,4051
4004,1393
4004,3976
4004,2560
4004,996
4004,4494
4004,2243
3618,3541
1461,225
25,2953
25,1919
25,214
25,188
25,643
3522,870
3522,2695
3522,918
3522,3165
288,361
288,641
288,1919
288,68
288,1217
288,3459
2370,792
2370,3
2370,798
1486,4326
1486,1379
1486,3333
1486,194
1486,2867
1486,3833
1486,3386
1486,4450
1486,1637
1486,1387
1486,4582
1486,785
1486,106
1486,4472
1486,996
1486,2174
1486,1784
522,188
522,821
119,2953
119,2253
119,955
119,188
434,2275
434,3230
434,298
4344,3459
46,1193
46,108
46,639
46,870
2059,2919
3131,4341
3131,3578
3131,3858
3131,4701
3337,3366
3337,1368
3337,3657
3870,2298
3870,2953
166,225
4823,3578
301,1645
301,385
916,225
1587,3459
2017,1312
3026,1133
655,563
58,1993
58,244
58,2953
58,2480
58,1570
58,3245
58,2477
58,164
58,1813
58,43
58,30
58,2045
58,798
58,1797
58,188
58,1371
58,2037
58,4412
58,752
58,248
58,539
688,730
3502,3938
3885,3492
1199,189
1199,2919
1199,2736
1199,2841
1199,2099
3831,3858
3831,3901
3831,1177
3831,2841
3831,612
1430,4796
2354,2539
792,188
4744,3529
3180,3168
4304,4299
4304,3203
4304,3465
72,403
533,234
2425,377
2425,3316
2425,1677
2425,3879
2425,359
1477,108
1863,248
3270,377
3270,569
3270,3578
3270,1367
594,225
302,422
302,1921
302,188
302,1882
40,122
40,569
40,1406
40,168
40,5
40,2086
40,1150
40,1652
40,3859
40,214
40,650
40,289
40,62
40,358
40,2948
40,188
40,1882
40,497
40,620
40,559
3175,3551
946,3858
946,1922
946,4182
946,424
3931,2648
3358,3431
3358,1349
2842,916
2842,792
2842,3185
2842,207
2842,118
2842,4579
2842,1254
2842,225
2849,4147
2116,2457
3080,3858
3080,3318
3080,423
3080,225
4018,225
1763,1368
2392,961
2392,1368
2392,108
2392,4331
3689,1254
3321,2405
4152,225
379,403
3369,3703
3369,1371
3369,2243
1379,572
1379,132
3289,1383
3289,4341
3289,4382
3289,3365
3289,100
927,33
927,91
927,57
927,188
1256,188
141,792
141,329
354,3612
2233,4425
67,2782
67,1361
67,726
67,3270
67,2457
67,2554
67,3699
67,167
67,2135
67,515
67,1508
67,4
67,519
67,1095
67,3395
67,2556
67,4720
67,220
67,1073
67,1896
67,526
67,214
67,43
67,30
67,2045
67,1310
67,2845
67,155
67,564
67,2948
67,1000
67,188
67,1254
67,870
67,1940
67,2139
67,1288
67,842
67,3459
67,1207
1024,515
122,1383
122,792
122,1863
122,1993
122,515
122,952
122,1828
122,1446
122,3858
122,3458
122,519
122,944
122,3019
122,2953
122,430
122,571
122,1997
122,168
122,2181
122,832
122,1941
122,1975
122,3084
122,3410
122,4439
122,4097
122,53
122,2950
122,4720
122,3818
122,164
122,1809
122,4755
122,331
122,2283
122,1843
122,409
122,711
122,4520
122,110
122,423
122,2172
122,534
122,564
122,68
122,1812
122,188
122,1254
122,4019
122,2148
122,4498
122,84
122,1784
122,497
122,2550
122,242
122,332
122,1261
122,4577
122,612
122,1443
122,2695
122,508
122,1003
122,2332
122,1301
122,740
122,1207
122,247
122,4802
2457,1934
3292,3431
3292,207
2391,1644
2391,744
2391,3537
2391,1285
2391,370
2391,1781
2391,4015
2391,4533
2391,4203
2391,3158
124,1720
124,1664
124,220
2402,4808
2402,3569
2402,4556
2402,574
2402,2311
2402,4290
2402,1050
2402,2686
2402,225
2402,2321
2315,2287
2315,3904
2554,83
2554,572
2554,4628
2554,2845
2554,957
11,478
11,289
11,188
11,2695
3401,3703
2368,1993
2368,237
1497,1784
2549,3748
2549,2225
2549,611
2549,2398
2549,961
2549,2457
2549,2391
2549,280
2549,1886
2549,1993
2549,4280
2549,515
2549,952
2549,931
2549,3720
2549,2904
2549,3858
2549,1101
2549,3458
2549,519
2549,1368
2549,4243
2549,3396
2549,2953
2549,592
2549,1214
2549,700
2549,1132
2549,4623
2549,2613
2549,1060
2549,3590
2549,367
2549,634
2549,3084
2549,53
2549,1311
2549,189
2549,2950
2549,376
2549,2187
2549,851
2549,1491
2549,1230
2549,447
2549,845
2549,1809
2549,4387
2549,4394
2549,4799
2549,4290
2549,4289
2549,1896
2549,2025
2549,3637
2549,2472
2549,2687
2549,647
2549,3473
2549,3329
2549,1068
2549,1648
2549,487
2549,3259
2549,423
2549,3837
2549,73
2549,4783
2549,1615
2549,128
2549,1914
2549,2405
2549,612
2549,2332
2549,3459
2549,4263
2549,1156
2549,323
2549,970
60,2457
60,1937
60,653
60,537
60,257
60,91
60,1975
60,221
60,164
60,2558
60,214
60,1813
60,4481
60,155
60,2172
60,41
60,2037
60,1443
60,2695
60,225
60,2243
60,1360
3002,972
3002,505
3002,2556
3002,100
3002,4755
3002,682
3002,2562
3002,2695
1202,1876
4529,533
4529,3144
4529,3578
4529,4382
4529,3203
4529,941
4529,3973
4529,519
4529,4284
4529,3487
4529,4821
4529,3200
4529,189
4529,933
4529,220
4529,214
4529,3160
4529,1254
4529,3471
4529,1615
4529,1002
4529,4324
4529,1042
4719,4051
10,972
10,2953
10,574
10,1975
10,583
10,1733
10,1285
10,1831
10,164
10,1799
10,1893
10,546
10,1843
10,2024
10,1539
10,1358
10,43
10,155
10,188
10,4467
10,269
10,497
10,2125
10,2686
10,2695
10,525
10,3459
3531,108
973,4408
3066,1160
1133,403
3280,792
3280,4343
3280,421
3280,3068
3280,81
3280,1320
3280,651
3280,1892
3280,3577
3280,4361
3280,3704
3280,3529
3280,102
3740,3316
1121,1169
1121,2096
1121,2772
1121,1003
1008,1885
2075,361
2075,845
2075,423
2075,4043
2484,574
2484,4385
2484,1793
2484,2286
2397,4556
280,4227
280,1193
280,207
280,109
280,1116
1091,2247
3730,248
3730,987
1993,961
1993,798
1019,188
1187,3973
569,214
569,30
104,2457
104,1492
104,2045
104,564
104,225
104,559
2498,3637
121,2033
121,1095
121,1892
121,870
121,1407
121,1070
3760,2457
3760,4343
3760,2483
3760,3786
3760,1568
3760,1652
3760,932
3760,1648
3760,225
2692,1458
2692,2150
2692,3777
538,1603
538,972
538,226
538,4382
538,2055
538,814
538,3844
538,332
538,842
538,2492
538,3980
3254,961
3254,3144
3254,515
456,4423
2404,2402
2404,3236
2404,4707
2404,3186
2404,4556
2404,4368
2404,3477
2404,3475
3469,4406
1925,843
1925,2782
1925,4178
1925,1745
1925,2398
1925,3585
1925,4314
1925,4273
1925,1957
1925,3781
1925,727
1925,3292
1925,1993
1925,3097
1925,1834
1925,3578
1925,226
1925,1830
1925,952
1925,245
1925,2904
1925,3858
1925,3203
1925,1101
1925,1727
1925,394
1925,3580
1925,3702
1925,1368
1925,3308
1925,4566
1925,3396
1925,4351
1925,2953
1925,592
1925,1494
1925,1571
1925,2429
1925,1655
1925,1928
1925,189
1925,3272
1925,376
1925,2187
1925,1831
1925,1835
1925,447
1925,1715
1925,1809
1925,1073
1925,3983
1925,1896
1925,711
1925,3637
1925,214
1925,1358
1925,1375
1925,3577
1925,4521
1925,1844
1925,974
1925,423
1925,1233
1925,564
1925,4459
1925,1254
1925,4220
1925,2328
1925,1110
1925,332
1925,3598
1925,1191
1925,2321
1925,3459
1925,1207
1925,2792
1925,3622
1925,721
2965,188
1072,4323
1072,1598
793,2554
793,188
793,3718
4774,108
4353,3137
4510,225
37,2953
37,571
37,2410
37,574
37,2480
37,1075
37,2477
37,220
37,12
37,214
37,1813
37,43
37,2884
37,215
37,798
37,188
37,225
37,1301
520,3885
520,188
520,3459
4283,1383
4283,280
4283,367
4283,3306
4283,1254
4283,459
1459,316
925,3637
3007,4099
3767,2403
618,2457
618,4
618,923
618,244
618,81
618,1892
618,1261
618,2910
618,3606
866,167
635,367
1485,911
1485,3858
1485,4268
1485,4343
1485,3396
1485,2414
1485,870
1485,2411
1485,3459
3468,4341
3468,3487
3468,268
3468,3179
3468,2411
3184,1368
801,1732
801,1671
3336,3622
3394,4097
3394,1848
3394,870
3394,2693
3578,3131
3578,3203
3578,2034
