worker_id,task_id,label
0,0,2
0,1,4
0,2,3
0,3,4
0,4,4
0,5,2
0,6,2
0,7,2
0,8,3
0,9,4
0,10,4
0,11,4
0,12,4
0,13,3
0,14,4
0,15,4
0,16,4
0,17,2
0,18,2
0,19,3
0,20,2
0,21,4
1,0,2
1,22,2
1,23,2
1,24,4
1,4,5
1,5,5
1,25,3
1,26,4
1,27,4
1,12,5
1,28,4
1,29,3
1,30,3
1,31,4
1,32,4
1,33,3
1,34,4
2,0,2
2,22,2
2,35,2
2,36,2
2,23,5
2,37,3
2,38,2
2,24,4
2,5,2
2,39,2
2,40,3
2,41,2
2,10,4
2,12,5
2,28,5
2,42,5
2,32,5
2,13,1
2,43,4
2,44,5
2,45,4
2,46,4
2,47,4
2,48,5
2,49,2
3,0,5
3,22,4
3,50,5
3,2,5
3,36,3
3,23,5
3,37,4
3,38,5
3,3,4
3,24,5
3,51,5
3,52,4
3,53,5
3,54,5
3,4,5
3,5,5
3,39,5
3,6,4
3,55,5
3,56,4
3,7,5
3,57,3
3,9,5
3,58,5
3,59,5
3,10,5
3,26,5
3,27,5
3,60,4
3,11,5
3,61,4
3,12,5
3,28,5
3,31,5
3,42,5
3,62,5
3,32,4
3,63,5
3,64,4
3,65,5
3,66,5
3,67,5
3,68,4
3,13,5
3,69,4
3,70,4
3,71,5
3,72,5
3,73,4
3,74,4
3,75,5
3,76,5
3,33,5
3,77,4
3,78,5
3,79,4
3,80,5
3,81,5
3,82,5
3,16,4
3,19,5
3,83,5
3,84,4
3,85,5
3,86,5
4,0,5
4,2,2
4,23,4
4,37,3
4,4,5
4,39,4
4,87,3
4,7,4
4,11,4
4,61,2
4,12,5
4,44,4
4,88,3
4,89,5
4,90,5
4,18,5
4,19,4
4,85,4
5,0,5
5,22,5
5,35,3
5,2,3
5,23,5
5,37,4
5,38,2
5,91,5
5,3,2
5,24,4
5,5,5
5,92,4
5,55,4
5,58,4
5,10,4
5,32,4
5,72,5
5,44,3
5,46,5
5,18,5
5,19,5
5,83,3
5,20,3
5,84,5
5,85,2
5,86,5
6,0,2
6,1,4
6,7,5
6,9,5
6,59,5
6,12,4
6,89,5
6,93,5
6,78,4
6,94,3
6,81,4
6,95,4
6,96,5
6,82,3
6,97,3
6,98,5
6,16,5
6,99,4
7,0,4
7,22,4
7,2,4
7,23,4
7,37,4
7,38,3
7,3,4
7,24,4
7,52,3
7,4,4
7,5,4
7,39,3
7,87,4
7,55,4
7,41,4
7,10,4
7,60,4
7,12,4
7,28,4
7,100,3
7,29,4
7,32,4
7,65,4
7,13,4
7,72,4
7,44,5
7,46,5
7,47,4
7,18,4
7,83,4
7,84,4
8,0,5
8,22,4
8,2,3
8,23,4
8,37,3
8,38,4
8,3,3
8,24,4
8,52,4
8,4,4
8,55,3
8,101,5
8,10,4
8,12,4
8,32,4
8,18,5
8,83,4
8,20,5
8,84,4
9,0,2
9,50,5
9,35,3
9,57,3
9,58,4
9,102,4
9,10,5
9,12,3
9,103,3
9,104,4
9,13,3
9,105,5
9,95,3
10,0,5
10,37,5
10,38,5
10,24,4
10,55,4
10,84,4
11,0,5
11,50,3
11,37,5
11,91,5
11,4,4
11,5,3
11,39,5
11,6,5
11,106,5
11,107,5
11,55,5
11,101,5
11,108,4
11,109,4
11,110,5
11,8,5
11,111,4
11,10,5
11,11,5
11,28,3
11,30,5
11,42,5
11,112,4
11,65,5
11,113,5
11,114,5
11,45,5
11,115,2
11,116,5
11,117,4
11,89,4
11,118,1
11,119,3
11,120,5
11,121,5
11,122,4
11,123,5
11,124,5
11,125,5
11,126,5
11,127,5
11,15,5
11,93,5
11,90,5
11,128,5
11,129,5
11,46,5
11,130,3
11,131,5
11,18,5
11,19,5
11,83,4
11,20,4
11,21,5
11,99,5
11,85,4
11,48,5
11,132,5
11,133,4
11,49,5
11,134,5
11,135,5
11,86,4
12,0,5
12,22,4
12,35,3
12,2,4
12,36,3
12,23,5
12,136,2
12,37,5
12,38,3
12,24,4
12,52,4
12,53,4
12,54,3
12,5,5
12,55,4
12,10,4
12,28,5
12,42,4
12,32,4
12,65,4
12,13,5
12,72,4
12,46,5
12,19,3
13,0,2
13,1,4
13,2,5
13,36,2
13,136,4
13,3,4
13,52,3
13,99,3
14,0,5
14,137,3
14,1,4
14,35,5
14,36,4
14,37,5
14,38,4
14,91,5
14,3,3
14,24,4
14,51,2
14,53,2
14,54,3
14,5,5
14,92,5
14,39,5
14,6,5
14,106,4
14,87,4
14,107,3
14,55,3
14,41,5
14,101,5
14,109,5
14,111,5
14,10,3
14,12,4
14,138,4
14,123,5
14,124,4
14,46,5
14,130,3
14,18,4
14,19,4
14,83,5
14,20,4
14,84,4
14,99,4
14,85,4
14,48,5
14,132,5
14,133,5
14,49,4
14,86,4
15,0,3
15,4,5
15,5,5
15,92,4
15,39,3
15,87,4
15,41,4
15,139,3
15,12,4
15,32,4
15,117,3
15,18,5
15,132,5
15,49,5
15,134,5
15,86,4
16,0,5
16,39,5
16,9,4
16,140,4
16,141,5
16,142,4
16,143,5
16,61,4
16,144,4
16,103,5
16,112,4
16,69,5
16,70,5
16,72,5
16,145,4
16,114,5
16,125,4
16,146,4
16,147,5
16,15,4
16,148,5
16,78,5
16,18,4
16,133,5
17,0,4
17,37,4
17,24,3
17,5,4
17,55,4
17,8,4
17,12,4
17,42,5
17,149,4
17,114,4
17,45,5
17,105,4
17,18,5
17,19,4
17,99,5
17,134,5
18,0,4
18,22,3
18,50,4
18,35,4
18,36,2
18,23,4
18,37,4
18,38,2
18,3,2
18,24,3
18,52,4
18,53,4
18,54,3
18,4,4
18,5,5
18,39,3
18,55,4
18,60,2
18,12,3
18,32,4
18,150,4
18,33,3
18,151,4
18,152,4
18,44,3
18,46,5
18,153,3
18,154,3
18,155,5
18,94,3
18,80,4
18,81,4
18,95,4
18,18,4
18,19,4
18,83,5
