dataset,GoodReadsDatasets_SWTest/GoodReads_5702_309t
ALPHA,0.1
G_Size,5
Iteration Count,53
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,2.427222828836744e-06
3.2,0.0064453678538946915
3.3,0.0
3.4,0.015714566171283032
3.5,0.0208227445403468
3.6,0.03875822914371181
3.7,0.04604760229094283
3.8,0.15216636417896603
3.9,0.14016344824947266
4.0,0.12312436348437773
4.1,0.14366455713499587
4.2,0.08242052837349526
4.3,0.10377251593991035
4.4,0.0517777593068082
4.5,0.04524855584175146
4.6,0.01730580182084974
4.7,0.01256516844635847
4.8,0.0
4.9,0.0
5.0,0.0
