worker_id,task_id,label
0,0,0.27
0,277,0.31
0,278,0.97
0,279,0.31
0,280,0.27
0,284,0.86
0,287,0.31
0,288,0.97
0,289,0.97
0,291,0.97
0,292,0.86
0,293,0.97
0,311,0.27
1,0,0.04
2,0,0.99
3,0,0.98
4,0,0.98
5,0,0.46
5,57,0.45
5,58,0.45
6,0,0.98
7,0,0.32
7,5,0.91
7,28,0.99
7,42,0.98
7,50,0.98
7,57,0.99
7,60,0.98
7,62,0.99
7,69,0.99
7,70,0.98
7,78,0.99
7,79,0.99
7,87,0.99
7,89,0.98
7,90,0.99
7,95,0.98
7,99,0.99
7,116,0.98
7,119,0.98
7,120,0.98
7,124,0.98
7,125,0.98
7,126,0.98
7,128,0.98
7,133,0.99
7,139,0.99
7,141,0.98
7,144,0.98
7,149,0.98
7,151,0.99
7,153,0.99
7,160,0.98
7,161,0.98
7,163,0.99
7,164,0.99
7,167,0.98
7,172,0.98
7,176,0.98
7,180,0.99
7,181,0.98
7,182,0.99
7,183,0.98
7,185,0.98
7,187,0.99
7,188,0.99
7,194,0.97
7,195,0.99
7,202,0.99
7,203,0.98
7,207,0.98
7,213,0.99
7,220,0.98
7,324,0.98
7,335,0.98
7,348,0.99
7,351,0.98
7,352,0.98
7,353,0.99
7,354,0.99
7,357,0.98
7,360,0.98
7,363,0.98
7,366,0.98
7,367,0.99
7,368,0.99
7,370,0.99
7,371,0.98
7,372,0.99
7,373,0.99
7,374,0.99
7,376,0.99
7,378,0.98
7,381,0.99
7,384,0.96
7,385,0.99
8,0,0.45
9,0,0.9
9,124,0.05
10,0,0.48
10,104,0.28
11,0,0.03
12,0,0.55
13,0,0.04
13,115,0.04
14,0,0.49
15,0,0.64
15,10,0.51
15,278,0.48
16,0,0.41
17,0,0.54
18,0,0.1
18,247,0.03
19,0,0.05
20,0,0.28
21,0,0.34
22,0,0.56
23,0,0.64
24,0,0.61
24,156,0.04
24,330,0.26
24,355,0.65
25,0,0.45
26,0,0.03
27,0,0.99
28,0,0.03
29,0,0.79
29,26,0.92
29,84,0.42
29,112,0.84
29,361,0.33
30,0,0.81
31,0,0.03
31,6,0.97
31,14,0.02
32,0,0.05
33,0,0.41
33,36,0.47
33,77,0.03
34,0,0.47
34,172,0.34
35,0,0.9
35,8,0.68
36,0,0.52
37,0,0.09
38,0,0.96
39,0,0.38
40,0,0.36
40,50,0.61
41,0,0.04
41,33,0.87
42,0,0.37
43,0,0.48
44,0,0.58
45,0,0.12
45,62,0.6
46,0,0.03
47,0,0.03
48,0,0.43
49,0,0.04
50,0,0.03
51,0,0.03
52,0,0.9
53,0,0.52
54,0,0.04
54,22,0.6
55,0,0.52
56,0,0.5
57,0,0.02
58,0,0.98
59,0,0.98
60,0,0.99
60,35,0.86
60,43,0.03
60,53,0.73
60,55,0.98
60,56,0.94
61,0,0.04
62,0,0.2
63,0,0.99
64,0,0.96
65,0,0.05
66,0,0.89
67,0,0.99
68,0,0.98
69,0,0.03
70,0,0.51
71,0,0.56
72,0,0.47
73,0,0.46
73,9,0.05
73,16,0.03
73,29,0.97
73,35,0.02
73,36,0.93
73,37,0.4
73,39,0.55
73,55,0.61
73,58,0.29
73,66,0.93
73,67,0.5
73,78,0.96
73,207,0.03
73,239,0.57
73,318,0.52
73,321,0.56
73,326,0.6
73,355,0.17
73,360,0.39
73,365,0.95
73,368,0.27
73,374,0.99
74,0,0.43
75,0,0.04
76,0,0.03
76,49,0.29
77,0,0.51
78,0,0.53
79,0,0.3
80,0,0.04
81,0,0.21
82,0,0.04
83,0,0.55
84,0,0.9
85,0,0.67
86,0,0.83
87,0,0.66
88,0,0.03
89,0,0.03
89,9,0.12
89,32,0.94
89,39,0.18
89,43,0.99
89,51,0.72
89,52,0.03
89,83,0.57
89,102,0.02
89,113,0.02
89,117,0.45
89,173,0.23
89,245,0.03
89,257,0.06
89,261,0.44
89,376,0.06
89,377,0.46
89,381,0.44
90,0,0.52
91,0,0.71
91,26,0.6
91,27,0.57
91,52,0.99
91,53,0.37
91,62,0.99
91,143,0.03
91,155,0.31
91,157,0.49
91,167,0.88
91,174,0.04
91,183,0.71
91,192,0.98
91,197,0.17
91,227,0.97
91,236,0.5
91,237,0.03
91,239,0.03
91,240,0.57
91,241,0.95
91,254,0.51
91,261,0.97
