dataset,TwitterDatasets/Twitter_394t_46486w
ALPHA,0.1
G_Size,5
worker_id,worker_severity
0,0.17505435
1,-0.36168479
2,0.54
3,0.53
4,0.53
5,-0.02679457
6,0.49055835
7,0.5215904
8,-0.01270049
9,0.00880794
10,-0.045
11,-0.42
12,0.1
13,-0.40674908
14,0.04
15,0.13
16,-0.04
17,0.09
18,-0.325
19,-0.4
20,-0.17
21,-0.11
22,0.11
23,0.19
24,-0.06669306
25,0.
26,-0.42
27,0.54
28,-0.42
29,0.23796783
30,0.36
31,-0.09
32,-0.36707813
33,-0.11794359
34,-0.075
35,0.335
36,0.06727435
37,-0.36
38,0.51
39,-0.07
40,0.00968591
41,-2.77567075e-17
42,-0.08
43,0.03
44,0.13
45,-0.095
46,-0.42
47,-0.36318322
48,-0.02
49,-0.41
50,-0.42
51,-0.42
52,0.45
53,0.07
54,-0.11
55,0.07
56,0.05
57,-0.42929937
58,0.51078849
59,0.53
60,0.28364295
61,-0.41
62,-0.25
63,0.54
64,0.51
65,-0.4
66,0.44
67,0.54
68,0.52801697
69,-0.42
70,0.06
71,0.11
72,0.02
73,0.06766039
74,-0.02
75,-0.41
76,-0.28
77,0.05993735
78,0.08
79,-0.14217067
80,-0.41
81,-0.23698018
82,-0.41
83,0.1
84,0.45
85,0.22415607
86,0.38
87,0.21
88,-0.42
89,-0.10955925
90,0.07
91,0.09065473
92,0.53
93,-0.36
94,-0.42
95,-0.42
96,0.14
97,-0.34
98,0.22
99,0.54
100,0.53
101,0.2244648
102,0.43106516
103,-0.04503644
104,0.02511996
105,-0.39428735
106,-0.0844502
107,-0.41001011
108,0.09036372
109,-0.39
110,-0.38
111,-0.41
112,-0.16
113,-0.42666918
114,0.08
115,0.53
116,0.44
117,-0.24
118,-0.4125394
119,0.11
120,0.19
121,-0.36
122,0.09260315
123,-0.42
124,-0.12
125,0.32
126,-0.18
127,0.13
128,0.01
129,0.19763772
130,0.53
131,-0.16
132,0.01660038
133,0.54
134,-0.24
135,0.1025
136,0.21
137,-0.05
138,0.04275195
139,0.22
140,0.12
141,0.15
142,-0.19993837
143,-0.12927607
144,0.01
145,-0.39
146,0.35
147,0.15
148,0.04
149,-0.42
150,-0.42
151,-0.08175466
152,-0.17530936
153,0.13441737
154,-0.40575677
155,0.31
156,0.04
157,-0.38
158,0.48
159,-0.12
160,-0.15
161,0.17
162,-0.42
163,0.23
164,0.09604446
165,-0.18666667
166,0.66
167,-0.29
168,0.05
169,0.12
170,0.42
171,-0.175
172,-0.185
173,0.37
174,0.18
175,-0.03
176,0.67
177,-0.03000973
178,0.21
179,0.05
180,0.01
181,0.11
182,-0.29
183,0.47
184,0.05
185,-0.11
186,-0.1
187,0.23126641
188,0.32
189,-0.29
190,-0.26
191,0.03684573
192,-0.28
193,-0.13
194,-0.18526545
195,0.46
196,-0.11931673
197,0.
198,0.26
199,-0.3
200,-0.29
201,0.11
202,-0.29
203,0.15
204,0.25663129
205,0.03
206,0.09
207,-0.18
208,-0.24
209,0.10162498
210,-0.29
211,0.31
212,-0.29
213,0.12
214,0.27
215,0.19
216,-0.28
217,-0.26
218,0.47
219,0.64
220,-0.29007213
221,-0.28
222,-0.3
223,0.6004636
224,-0.14
225,-0.28
226,0.18
227,-0.3
228,0.2
229,0.66
230,-0.04
231,-0.28
232,-0.22
233,0.53
234,-0.3
235,-0.29
236,-0.27
237,-0.29
238,0.25
239,0.44
240,-0.28
241,-0.23
242,0.22
243,0.285
244,-0.29
245,-0.26
246,-0.30055207
247,0.22
248,0.16
249,0.48
250,-0.27769301
251,-0.23
252,-0.2897058
253,0.2029624
254,0.15128291
255,-0.174
256,-0.28
257,-0.29857089
258,-0.28
259,-0.28508228
260,0.12173285
261,0.24
262,-0.29
263,0.1
264,0.42
265,0.23
266,-0.27
267,-0.29
268,-0.315
269,-0.27
270,-0.28
271,-0.28
272,-0.21
273,-0.27023795
274,-0.14
275,0.57
276,-0.21
277,-0.13
278,-0.3
279,-0.28
280,-0.24
281,-0.29
282,-0.29
283,0.04
284,-0.28
285,-0.09
286,-0.28
287,0.13
288,0.135
289,-0.22
290,0.27000201
291,0.11
292,0.18
293,-0.29
294,0.58
295,-0.37
296,0.28057178
297,-0.29
298,-0.29
299,-0.3
300,-0.26
301,0.29732967
302,-0.15
303,-0.05666667
304,-0.28
305,-0.29
306,-0.29
307,0.66
308,-0.1
309,0.66
310,0.14981512
311,0.19
312,-0.27856641
